id,name,RepID,species,len,Tax
UniRef100_A0A2A9REC7/2-137,Cluster: Stage V sporulation protein AB,A0A2A9REC7,Bacillus sp. AFS088145,138,2033514
UniRef100_A0A0Q3W811/2-137,Cluster: Stage V sporulation protein AB,A0A0Q3W811,Bacillus sp. FJAT-25509,138,1712029
UniRef100_UPI000826BE90/4-141,Cluster: stage V sporulation protein AB,UPI000826BE90,Geobacillus jurassicus,143,235932
UniRef100_UPI001CFA7F47/1-139,Cluster: stage V sporulation protein AB,UPI001CFA7F47,Metabacillus niabensis,140,324854
UniRef100_UPI00178160E7/1-139,Cluster: stage V sporulation protein AB,UPI00178160E7,Bacillus sp. PS06,140,2764176
UniRef100_UPI000BB776A0/1-139,Cluster: stage V sporulation protein AB,UPI000BB776A0,Bacillus,140,1386
UniRef100_A0A150NCH2/1-132,Cluster: Uncharacterized protein,A0A150NCH2,Geobacillus stearothermophilus (Bacillus stearothermophilus),134,1422
UniRef100_UPI000B44BB2A/2-137,Cluster: stage V sporulation protein AB,UPI000B44BB2A,Bacillus sp. EAC,138,1978338
UniRef100_A0A2A7WQ04/2-137,Cluster: Stage V sporulation protein AB,A0A2A7WQ04,Bacillus sp. AFS002410,138,2033481
UniRef100_UPI000BB6873C/3-137,Cluster: stage V sporulation protein AB,UPI000BB6873C,Bacillus sp. FJAT-44876,138,2011013
UniRef100_A0A1V9B9Z1/4-140,Cluster: Stage V sporulation protein AB,A0A1V9B9Z1,Geobacillus sp. 46C-IIa,143,1963025
UniRef100_A0A857MX09/4-141,Cluster: Stage V sporulation protein AB,A0A857MX09,Geobacillus stearothermophilus (Bacillus stearothermophilus),143,1422
UniRef100_UPI000BB7924C/4-141,Cluster: stage V sporulation protein AB,UPI000BB7924C,Geobacillus sp. FJAT-46040,143,2011017
UniRef100_UPI001C68F9CE/1-138,Cluster: stage V sporulation protein AB,UPI001C68F9CE,Bacillus sp. IITD106,141,2864214
UniRef100_UPI001C63ECC8/2-138,Cluster: stage V sporulation protein AB,UPI001C63ECC8,Anoxybacillus sp. ST4,139,2864181
UniRef100_A0A0D8BYC6/4-141,Cluster: Stage V sporulation AB family protein,A0A0D8BYC6,Geobacillus kaustophilus,143,1462
UniRef100_UPI000C241D0A/1-139,Cluster: stage V sporulation protein AB,UPI000C241D0A,Bacillus solitudinis,139,2014074
UniRef100_UPI0009A7E144/1-138,Cluster: stage V sporulation protein AB,UPI0009A7E144,Mesobacillus jeotgali,140,129985
UniRef100_A0A0Q3WXR1/1-139,Cluster: Stage V sporulation protein AB,A0A0Q3WXR1,Margalitia shackletonii,140,157838
UniRef100_A0A146CZK8/4-140,Cluster: Stage V sporulation protein AB,A0A146CZK8,Geobacillus subterraneus,143,129338
UniRef100_B7GKG9/1-139,Cluster: Stage V sporulation protein AB,B7GKG9,Anoxybacillus flavithermus (strain DSM 21510 / WK1),140,491915
UniRef100_A0A3A1QZD8/1-138,Cluster: Stage V sporulation protein AB,A0A3A1QZD8,Bacillus salacetis,140,2315464
UniRef100_UPI001BE4EF64/1-138,Cluster: stage V sporulation protein AB,UPI001BE4EF64,Bacteria,140,2
UniRef100_A0A084GVX9/1-138,Cluster: Stage V sporulation protein AB,A0A084GVX9,Metabacillus indicus (Bacillus indicus),140,246786
UniRef100_UPI0008266E9F/1-139,Cluster: stage V sporulation protein AB,UPI0008266E9F,Robertmurraya korlensis,140,519977
UniRef100_UPI00135799BD/4-141,Cluster: stage V sporulation protein AB,UPI00135799BD,Geobacillus sp. TFV-3,143,1897059
UniRef100_A0A7Y8V207/1-139,Cluster: Stage V sporulation protein AB,A0A7Y8V207,Bacillus sp.,141,1409
UniRef100_M8D8U5/2-138,Cluster: Stage V sporulation protein AB,M8D8U5,Anoxybacillus flavithermus AK1,139,1297581
UniRef100_A0A0M2PP89/1-139,Cluster: Stage V sporulation protein AB,A0A0M2PP89,Bacillus sp. SA1-12,140,1455638
UniRef100_A0A263BU96/3-139,Cluster: Stage V sporulation protein AB,A0A263BU96,Lottiidibacillus patelloidae,141,2670334
UniRef100_UPI001BB431AC/1-139,Cluster: stage V sporulation protein AB,UPI001BB431AC,Heyndrickxia oleronia,140,38875
UniRef100_A0A5C6W910/3-140,Cluster: Stage V sporulation protein AB,A0A5C6W910,Metabacillus litoralis,141,152268
UniRef100_A0A098L0N0/1-132,Cluster: Stage V sporulation protein AB,A0A098L0N0,Geobacillus thermoleovorans B23,134,1406857
UniRef100_A0A6I1FVC3/4-140,Cluster: Stage V sporulation protein AB,A0A6I1FVC3,Bacillus aerolatus,141,2653354
UniRef100_A0A1I0TLV0/2-138,Cluster: Stage V sporulation protein AB,A0A1I0TLV0,Anoxybacillus pushchinoensis,139,150248
UniRef100_A0A370GDJ2/2-140,Cluster: Stage V sporulation protein AB,A0A370GDJ2,Falsibacillus pallidus,141,493781
UniRef100_A0A223KSH3/1-139,Cluster: Stage V sporulation protein AB,A0A223KSH3,Sutcliffiella cohnii,140,33932
UniRef100_UPI00119FA3F7/1-138,Cluster: stage V sporulation protein AB,UPI00119FA3F7,Cytobacillus oceanisediminis,140,665099
UniRef100_A0A5D4MGZ9/1-138,Cluster: Stage V sporulation protein AB,A0A5D4MGZ9,Rossellomorea vietnamensis,140,218284
UniRef100_A0A7V9Z3D7/4-140,Cluster: Stage V sporulation protein AB,A0A7V9Z3D7,Anoxybacillus caldiproteolyticus,141,247480
UniRef100_A0A7W8JJ90/2-138,Cluster: Stage V sporulation protein AB,A0A7W8JJ90,Anoxybacillus mongoliensis,139,452565
UniRef100_UPI001C1F43C4/1-139,Cluster: stage V sporulation protein AB,UPI001C1F43C4,Alkalihalobacterium elongatum,140,2675466
UniRef100_A0A268E5D3/1-139,Cluster: Stage V sporulation protein AB,A0A268E5D3,Bacillus sp. 7586-K,140,2021690
UniRef100_A0A4S3L6H0/2-138,Cluster: Stage V sporulation protein AB,A0A4S3L6H0,Anoxybacillus kamchatkensis,139,196180
UniRef100_A0A3L7JVZ6/1-139,Cluster: Stage V sporulation protein AB,A0A3L7JVZ6,Falsibacillus albus,140,2478915
UniRef100_A0A0D0HST6/2-138,Cluster: Stage V sporulation protein AB,A0A0D0HST6,Anoxybacillus ayderensis,139,265546
UniRef100_A0A7M1SCL5/1-139,Cluster: Stage V sporulation protein AB,A0A7M1SCL5,Bacillus sp. HD4P25,140,2779776
UniRef100_UPI0019590E87/3-140,Cluster: stage V sporulation protein AB,UPI0019590E87,Metabacillus crassostreae,141,929098
UniRef100_A0A1G7ZNT1/1-139,Cluster: Stage V sporulation protein AB,A0A1G7ZNT1,Alteribacillus persepolensis,140,568899
UniRef100_A0A398BD76/1-140,Cluster: Stage V sporulation protein AB,A0A398BD76,Mesobacillus zeae,141,1917180
UniRef100_A0A7M1TTJ2/4-141,Cluster: Stage V sporulation protein AB,A0A7M1TTJ2,Geobacillus stearothermophilus (Bacillus stearothermophilus),143,1422
UniRef100_UPI000B103FF2/4-139,Cluster: stage V sporulation protein AB,UPI000B103FF2,Paenibacillus dakarensis,141,1527293
UniRef100_A0A0V8JFH2/1-139,Cluster: Stage V sporulation protein AB,A0A0V8JFH2,Fictibacillus enclensis,140,1017270
UniRef100_UPI001ADBBC42/1-139,Cluster: stage V sporulation protein AB,UPI001ADBBC42,Alkalihalobacillus sp. BA299,140,2815938
UniRef100_M5R3A6/2-138,Cluster: Stage V sporulation protein AB,M5R3A6,Anoxybacillus gonensis,139,198467
UniRef100_A0A2G5RQR2/2-138,Cluster: Stage V sporulation protein AB,A0A2G5RQR2,Anoxybacillus flavithermus,139,33934
UniRef100_A0A1Q8V3L8/1-139,Cluster: Stage V sporulation protein AB,A0A1Q8V3L8,Alkalihalobacillus pseudofirmus (Bacillus pseudofirmus),140,79885
UniRef100_A0A4V1LGT4/4-139,Cluster: Stage V sporulation protein AB,A0A4V1LGT4,Anaerobacillus alkaliphilus,140,1548597
UniRef100_A0A1S2LEA6/1-139,Cluster: Stage V sporulation protein AB,A0A1S2LEA6,Anaerobacillus alkalilacustris,140,393763
UniRef100_UPI0010525031/1-138,Cluster: stage V sporulation protein AB,UPI0010525031,Melghiribacillus thermohalophilus,140,1324956
UniRef100_A0A023DEI3/1-140,Cluster: Stage V sporulation protein AB,A0A023DEI3,Parageobacillus caldoxylosilyticus NBRC 107762,142,1220594
UniRef100_UPI0015548EC7/1-139,Cluster: stage V sporulation protein AB,UPI0015548EC7,Bacillus sp. WMMC1349,141,2736254
UniRef100_A0A6M8FWG9/2-137,Cluster: Stage V sporulation protein AB,A0A6M8FWG9,Arthrobacter citreus,138,1670
UniRef100_UPI0009B9DDED/1-138,Cluster: stage V sporulation protein AB,UPI0009B9DDED,Cytobacillus gottheilii,140,859144
UniRef100_A0A7W9YNJ3/2-138,Cluster: Stage V sporulation protein AB,A0A7W9YNJ3,Anoxybacillus tengchongensis,139,576944
UniRef100_R4FZ63/2-138,Cluster: Stage V sporulation protein AB,R4FZ63,Anoxybacillus flavithermus NBRC 109594,139,1315967
UniRef100_J7W379/3-139,Cluster: Stage V sporulation protein AB,J7W379,Bacillus cereus VD142,140,718224
UniRef100_UPI001BEC64F2/1-138,Cluster: stage V sporulation protein AB,UPI001BEC64F2,unclassified Bacillus (in: Bacteria),140,185979
UniRef100_A0A1H0WH02/1-139,Cluster: Stage V sporulation protein AB,A0A1H0WH02,Litchfieldia salsus,140,930152
UniRef100_UPI001581D7AD/1-140,Cluster: stage V sporulation protein AB,UPI001581D7AD,Parageobacillus sp. VR-IP,142,2742205
UniRef100_UPI001BC8D3CD/1-138,Cluster: stage V sporulation protein AB,UPI001BC8D3CD,Lederbergia citri,141,2833580
UniRef100_A0A1L8ZME4/1-139,Cluster: Stage V sporulation protein AB,A0A1L8ZME4,Bacillus obstructivus,140,1914540
UniRef100_A0A1S2M6C0/1-139,Cluster: Stage V sporulation protein AB,A0A1S2M6C0,Anaerobacillus isosaccharinicus,140,1532552
UniRef100_A0A4Q9DU88/5-139,Cluster: Stage V sporulation protein AB,A0A4Q9DU88,Paenibacillus thalictri,142,2527873
UniRef100_UPI0006A7D589/1-139,Cluster: stage V sporulation protein AB,UPI0006A7D589,Bacillaceae,140,186817
UniRef100_A0A0A8X1F8/1-138,Cluster: Stage V sporulation protein AB (SpoVAB),A0A0A8X1F8,Mesobacillus selenatarsenatis SF-1,140,1321606
UniRef100_A0A2N6RNT4/1-139,Cluster: Stage V sporulation protein AB,A0A2N6RNT4,Bacillus sp. UMB0899,140,2029108
UniRef100_J8IDS3/3-139,Cluster: Stage V sporulation protein AB,J8IDS3,Bacillus mycoides,140,1405
UniRef100_A0A147K870/1-139,Cluster: Stage V sporulation protein AB,A0A147K870,Bacillus coahuilensis p1.1.43,140,1150625
UniRef100_UPI001BE5B4EB/1-138,Cluster: stage V sporulation protein AB,UPI001BE5B4EB,Bacillus sp. ISL-41,140,2819127
UniRef100_A0A1I1UMC8/1-139,Cluster: Stage V sporulation protein AB,A0A1I1UMC8,Bacillus sp. OV194,140,1881065
UniRef100_UPI0004223D23/1-139,Cluster: stage V sporulation protein AB,UPI0004223D23,Fictibacillus gelatini,140,225985
UniRef100_UPI0002EB123D/2-137,Cluster: stage V sporulation protein AB,UPI0002EB123D,Bacillus mycoides,138,1405
UniRef100_A0A2N5FDV4/4-139,Cluster: Stage V sporulation protein AB,A0A2N5FDV4,Bacillus sp. UMB0893,141,2066053
UniRef100_I8J413/2-138,Cluster: Stage V sporulation protein AB,I8J413,Fictibacillus macauensis ZFHKF-1,139,1196324
UniRef100_UPI000A1CA332/2-138,Cluster: stage V sporulation protein AB,UPI000A1CA332,Tuberibacillus sp. Marseille-P3662,139,1965358
UniRef100_A0A385NS97/1-139,Cluster: Stage V sporulation protein AB,A0A385NS97,Bacillus sp. Y1,140,352858
UniRef100_UPI001C0F0C24/1-139,Cluster: stage V sporulation protein AB,UPI001C0F0C24,Heyndrickxia oleronia,140,38875
UniRef100_UPI001CFDF5D6/1-138,Cluster: stage V sporulation protein AB,UPI001CFDF5D6,Mesobacillus subterraneus,140,285983
UniRef100_UPI001BC8CAD9/1-139,Cluster: stage V sporulation protein AB,UPI001BC8CAD9,unclassified Bacillus (in: Bacteria),140,185979
UniRef100_A0A846TDH8/1-138,Cluster: Stage V sporulation protein AB,A0A846TDH8,Mesobacillus selenatarsenatis,140,388741
UniRef100_UPI00166A3FC9/1-139,Cluster: stage V sporulation protein AB,UPI00166A3FC9,Pullulanibacillus pueri,140,1437324
UniRef100_A0A4R5VR84/1-139,Cluster: Stage V sporulation protein AB,A0A4R5VR84,Bacillus salipaludis,140,2547811
UniRef100_A0A4V2SNL9/1-138,Cluster: Stage V sporulation protein AB,A0A4V2SNL9,Scopulibacillus darangshiensis,139,442528
UniRef100_C5D400/1-140,Cluster: Stage V sporulation protein AB,C5D400,Geobacillus sp. (strain WCH70),142,471223
UniRef100_W7RKW7/1-139,Cluster: Stage V sporulation protein AB,W7RKW7,Bacillus haynesii,141,1925021
UniRef100_UPI000716F704/1-138,Cluster: stage V sporulation protein AB,UPI000716F704,Fredinandcohnia humi,139,263474
UniRef100_A0A226QLH6/1-140,Cluster: Stage V sporulation protein AB,A0A226QLH6,Parageobacillus galactosidasius,142,883812
UniRef100_A6CMX5/1-138,Cluster: SpoVAB,A6CMX5,Bacillus sp. SG-1,140,161544
UniRef100_UPI000185101B/1-139,Cluster: stage V sporulation protein AB,UPI000185101B,Bacillus coahuilensis,140,408580
UniRef100_UPI0019629402/1-139,Cluster: stage V sporulation protein AB,UPI0019629402,Metabacillus iocasae,140,2291674
UniRef100_A0A178TB03/2-138,Cluster: Stage V sporulation protein AB,A0A178TB03,Anoxybacillus flavithermus,139,33934
UniRef100_A0A5J5HYS8/1-139,Cluster: Stage V sporulation protein AB,A0A5J5HYS8,Niallia endozanthoxylicus,140,2036016
UniRef100_UPI001BEA7241/1-138,Cluster: Stage V sporulation protein AB,UPI001BEA7241,Bacillus sp. ISL-37,140,2819123
UniRef100_A0A1C4EN41/2-137,Cluster: Stage V sporulation protein AB,A0A1C4EN41,Bacillus cereus,138,1396
UniRef100_UPI001BE5CF54/1-138,Cluster: Stage V sporulation protein AB,UPI001BE5CF54,Bacillus sp. ISL-55,140,2819134
UniRef100_A0A4R1QHP9/2-138,Cluster: Stage V sporulation protein AB,A0A4R1QHP9,Thermolongibacillus altinsuensis,139,575256
UniRef100_A0A1I2L7H9/1-137,Cluster: Stage V sporulation protein AB,A0A1I2L7H9,Planifilum fulgidum,142,201973
UniRef100_A0A161ZSD7/1-137,Cluster: Stage V sporulation protein AB,A0A161ZSD7,Aeribacillus pallidus,140,33936
UniRef100_UPI000307D271/6-142,Cluster: stage V sporulation protein AB,UPI000307D271,Calidifontibacillus oryziterrae,147,1191699
UniRef100_UPI001912B7D9/3-139,Cluster: stage V sporulation protein AB,UPI001912B7D9,Peribacillus sp. TH16,140,2798482
UniRef100_UPI000B44C2E9/1-139,Cluster: stage V sporulation protein AB,UPI000B44C2E9,Alkalihalobacillus urbisdiaboli,139,1960589
UniRef100_A0A5D4KHP9/1-138,Cluster: Stage V sporulation protein AB,A0A5D4KHP9,Rossellomorea vietnamensis,140,218284
UniRef100_A0A846MIR7/4-141,Cluster: Stage V sporulation protein AB,A0A846MIR7,Saccharococcus thermophilus,143,29396
UniRef100_UPI001472C933/1-138,Cluster: stage V sporulation protein AB,UPI001472C933,Bacillus fonticola,139,2728853
UniRef100_A0A248TLR6/4-139,Cluster: Stage V sporulation protein AB,A0A248TLR6,Cytobacillus kochii,140,859143
UniRef100_UPI001BD1A0E0/1-138,Cluster: stage V sporulation protein AB,UPI001BD1A0E0,Mesobacillus boroniphilus,140,308892
UniRef100_UPI0009885A10/1-138,Cluster: stage V sporulation protein AB,UPI0009885A10,Bacillus sinesaloumensis,139,1926280
UniRef100_UPI001A96C2B2/1-138,Cluster: stage V sporulation protein AB,UPI001A96C2B2,Telluribacter sp. SYSU D00476,140,2811430
UniRef100_UPI0005D10E20/1-139,Cluster: stage V sporulation protein AB,UPI0005D10E20,Bacillus alveayuensis,140,279215
UniRef100_UPI001BC8FFA8/1-139,Cluster: stage V sporulation protein AB,UPI001BC8FFA8,Bacillus sp. FJAT-49731,140,2833584
UniRef100_A0A172TMG1/9-141,Cluster: Stage V sporulation protein AB,A0A172TMG1,Paenibacillus swuensis,143,1178515
UniRef100_A0A8B5Y0D4/3-139,Cluster: Stage V sporulation protein AB,A0A8B5Y0D4,Peribacillus simplex,140,1478
UniRef100_UPI001CFDAB5C/1-138,Cluster: stage V sporulation protein AB,UPI001CFDAB5C,Mesobacillus subterraneus,140,285983
UniRef100_A0A0U1P1I7/1-140,Cluster: SpoVAB,A0A0U1P1I7,Neobacillus massiliamazoniensis,141,1499688
UniRef100_A0A0D0QYA6/2-138,Cluster: Uncharacterized protein,A0A0D0QYA6,Anoxybacillus thermarum,139,404937
UniRef100_UPI000C8548B3/1-138,Cluster: stage V sporulation protein AB,UPI000C8548B3,Mesobacillus jeotgali,140,129985
UniRef100_UPI001CFC2C56/1-137,Cluster: stage V sporulation protein AB,UPI001CFC2C56,Bacillus carboniphilus,139,86663
UniRef100_A0A2A8TQ93/3-139,Cluster: Stage V sporulation protein AB,A0A2A8TQ93,Bacillus sp. AFS017274,140,2033488
UniRef100_UPI0011DD5D4B/3-139,Cluster: stage V sporulation protein AB,UPI0011DD5D4B,Peribacillus simplex,140,1478
UniRef100_A0A164PL58/4-139,Cluster: Stage V sporulation protein AB (SpoVAB),A0A164PL58,Bacillus cereus,140,1396
UniRef100_A0A1G9W3N2/1-139,Cluster: Stage V sporulation protein AB,A0A1G9W3N2,Fictibacillus solisalsi,140,459525
UniRef100_A0A4S4C0V6/1-139,Cluster: Stage V sporulation protein AB,A0A4S4C0V6,Metabacillus sediminilitoris,140,2567941
UniRef100_A0A6G7JFK7/1-139,Cluster: Stage V sporulation protein AB,A0A6G7JFK7,Bacillus paralicheniformis,141,1648923
UniRef100_A0A3R9DU05/1-138,Cluster: Stage V sporulation protein AB,A0A3R9DU05,Mesobacillus subterraneus,140,285983
UniRef100_A0A174E0H0/1-136,Cluster: Stage V sporulation protein AB,A0A174E0H0,Hungatella hathewayi,141,154046
UniRef100_A0A8E9QZ57/2-137,Cluster: Stage V sporulation protein SpoVAB,A0A8E9QZ57,Bacillus mycoides,138,1405
UniRef100_A0A098FII6/3-139,Cluster: Stage V sporulation protein AB,A0A098FII6,Peribacillus simplex,140,1478
UniRef100_A0A2S8UXN9/2-137,Cluster: Stage V sporulation protein AB,A0A2S8UXN9,Bacillus sp. MYb209,138,1848605
UniRef100_A0A854UF80/3-139,Cluster: Stage V sporulation protein AB,A0A854UF80,Peribacillus simplex,140,1478
UniRef100_UPI000988511B/1-139,Cluster: stage V sporulation protein AB,UPI000988511B,Caenibacillus caldisaponilyticus,143,1674942
UniRef100_A0A374PDW4/1-136,Cluster: Stage V sporulation protein AB,A0A374PDW4,Hungatella hathewayi,141,154046
UniRef100_J8G9X3/2-137,Cluster: Uncharacterized protein,J8G9X3,Bacillus cereus VD107,138,1053229
UniRef100_A0A2A4BPL6/1-139,Cluster: Stage V sporulation protein AB,A0A2A4BPL6,Peribacillus simplex,140,1478
UniRef100_UPI00028A3AE5/1-138,Cluster: stage V sporulation protein AB,UPI00028A3AE5,Bacillus timonensis,139,1033734
UniRef100_UPI000B4428B3/1-140,Cluster: stage V sporulation protein SpoVAB,UPI000B4428B3,Bacillus,141,1386
UniRef100_A0A1B1LB28/4-139,Cluster: Stage V sporulation protein AB,A0A1B1LB28,Bacillus thuringiensis,140,1428
UniRef100_UPI00119F293B/2-137,Cluster: stage V sporulation protein SpoVAB,UPI00119F293B,Bacillus cereus,138,1396
UniRef100_A0A6I7FA59/1-139,Cluster: Stage V sporulation protein AB,A0A6I7FA59,Bacillus sp. NSP9.1,141,1071078
UniRef100_UPI000BB70B8A/1-139,Cluster: stage V sporulation protein AB,UPI000BB70B8A,Bacillus sp. FJAT-45350,140,2011014
UniRef100_A0A6M0Q4L7/1-139,Cluster: Stage V sporulation protein AB,A0A6M0Q4L7,Bacillus mesophilus,140,1808955
UniRef100_J8AJU2/3-139,Cluster: Uncharacterized protein,J8AJU2,Bacillus cereus BAG6X1-2,140,1053195
UniRef100_UPI00195B3F57/1-139,Cluster: stage V sporulation protein AB,UPI00195B3F57,Peribacillus deserti,140,673318
UniRef100_A0A1D3MRY2/2-137,Cluster: Stage V sporulation protein AB,A0A1D3MRY2,Bacillus mycoides,138,1405
UniRef100_UPI0003A50AC4/1-139,Cluster: stage V sporulation protein AB,UPI0003A50AC4,Bacillus,141,1386
UniRef100_A0A6L5AVD4/2-140,Cluster: Stage V sporulation protein AB (SpoVAB),A0A6L5AVD4,Bacillus sp. ZZV12-4809,141,2575830
UniRef100_A0A5D4N980/1-140,Cluster: Stage V sporulation protein SpoVAB,A0A5D4N980,Bacillus subtilis,141,1423
UniRef100_J8FC74/3-139,Cluster: Uncharacterized protein,J8FC74,Bacillus cereus MC67,140,1053219
UniRef100_A0A8E9KRP9/2-137,Cluster: Stage V sporulation protein SpoVAB,A0A8E9KRP9,Bacillus mycoides,138,1405
UniRef100_A0A366XXS9/1-139,Cluster: Stage V sporulation protein AB,A0A366XXS9,Bacillus taeanensis,140,273032
