Cluster ID	Cluster name	Cluster members	Organisms	Length	Organism IDs
UniRef100_A0A068LS98	Cluster: Stage V sporulation protein AA	A0A068LS98; UPI00025F1BC5	Bacillus methanolicus (strain MGA3 / ATCC 53907); Bacillus methanolicus	212	796606; 1471
UniRef100_A0A366Y003	Cluster: Stage V sporulation protein AA	A0A366Y003	Bacillus taeanensis	207	273032
UniRef100_UPI001C963D8A	Cluster: stage V sporulation protein AA	UPI001C963D8A	Cytobacillus firmus (Bacillus firmus)	206	1399
UniRef100_A0A285CKK2	Cluster: Stage V sporulation protein AA	A0A285CKK2	Bacillus oleivorans	206	1448271
UniRef100_UPI0008311360	Cluster: stage V sporulation protein AA	UPI0008311360	Cytobacillus eiseniae	206	762947
UniRef100_A0A5B8Z6B8	Cluster: Stage V sporulation protein AA	A0A5B8Z6B8	Bacillus dafuensis	206	1742359
UniRef100_A0A0T6BTL1	Cluster: Stage V sporulation protein AA	A0A0T6BTL1	Bacillus glycinifermentans	206	1664069
UniRef100_UPI000988312A	Cluster: stage V sporulation protein AA	UPI000988312A	Bacillus sinesaloumensis	206	1926280
UniRef100_K6DAW4	Cluster: Stage V sporulation protein AA	K6DAW4	Neobacillus bataviensis LMG 21833	207	1117379
UniRef100_UPI0018CD7ABA	Cluster: stage V sporulation protein AA	UPI0018CD7ABA	Cytobacillus firmus (Bacillus firmus)	206	1399
UniRef100_A0A1C3SF83	Cluster: SpoVAA	A0A1C3SF83	Bacillus glycinifermentans	206	1664069
UniRef100_UPI001CD7B854	Cluster: stage V sporulation protein AA	UPI001CD7B854	Rossellomorea aquimaris	206	189382
UniRef100_A0A5A9DYS6	Cluster: Stage V sporulation protein AA	A0A5A9DYS6	Bacillus sp. CH30_1T	206	2604836
UniRef100_G9QPD3	Cluster: SporV_AA domain-containing protein	G9QPD3; A0A0H4P5B3	Bacillus smithii 7_3_47FAA; Bacillus smithii	239	665952; 1479
UniRef100_A0A268E5D7	Cluster: Stage V sporulation protein AA	A0A268E5D7; UPI00113FE3AF	Bacillus sp. 7586-K; Bacillaceae	206	2021690; 186817
UniRef100_UPI00047CC0E4	Cluster: stage V sporulation protein AA	UPI00047CC0E4	Bacillus sp. J33	206	935836
UniRef100_N0B3G9	Cluster: Stage V sporulation protein AA	N0B3G9	Bacillus sp. 1NLA3E	206	666686
UniRef100_A0A4R1B5J3	Cluster: Stage V sporulation protein AA	A0A4R1B5J3	Cytobacillus praedii	206	1742358
UniRef100_UPI001BE7C3C7	Cluster: stage V sporulation protein AA	UPI001BE7C3C7	Bacteria	206	2
UniRef100_A0A7X9QSN4	Cluster: Stage V sporulation protein AA	A0A7X9QSN4	Bacillus sp. DNRA2	206	2723053
UniRef100_A0A2N5G6J1	Cluster: Stage V sporulation protein AA	A0A2N5G6J1	Bacillus sp. V3-13	204	2053728
UniRef100_A0A1H0WGI2	Cluster: Stage V sporulation protein AA	A0A1H0WGI2	Litchfieldia salsus	207	930152
UniRef100_UPI00096B4E63	Cluster: stage V sporulation protein AA	UPI00096B4E63	Bacillus massilionigeriensis	206	1805475
UniRef100_A0A846MCH6	Cluster: Stage V sporulation protein AA	A0A846MCH6	Saccharococcus thermophilus	207	29396
UniRef100_UPI000C0C0A4F	Cluster: stage V sporulation protein AA	UPI000C0C0A4F	Fredinandcohnia onubensis	206	1571209
UniRef100_A0A370GBU2	Cluster: Stage V sporulation protein AA	A0A370GBU2; UPI000E0A996A	Falsibacillus pallidus	236	493781
UniRef100_UPI0006535584	Cluster: stage V sporulation protein AA	UPI0006535584	Bacillus glycinifermentans	206	1664069
UniRef100_A0A248TLW0	Cluster: Stage V sporulation protein AA	A0A248TLW0	Cytobacillus kochii	206	859143
UniRef100_UPI001782CE59	Cluster: stage V sporulation protein AA	UPI001782CE59	Cytobacillus sp. Sa5YUA1	206	2762240
UniRef100_UPI0018CF603F	Cluster: stage V sporulation protein AA	UPI0018CF603F	Cytobacillus firmus (Bacillus firmus)	206	1399
UniRef100_A0A3L7JW04	Cluster: Stage V sporulation protein AA	A0A3L7JW04	Falsibacillus albus	206	2478915
UniRef100_A0A562K0U4	Cluster: Stage V sporulation protein AA	A0A562K0U4; UPI00119F9D2E	Cytobacillus oceanisediminis	212	665099
UniRef100_A0A369WWB5	Cluster: Stage V sporulation protein AA	A0A369WWB5	Parageobacillus thermoglucosidasius (Geobacillus thermoglucosidasius)	207	1426
UniRef100_A0A2A9BUN5	Cluster: Stage V sporulation protein AA	A0A2A9BUN5	Bacillus sp. es.034	206	1761763
UniRef100_UPI001237BFB3	Cluster: stage V sporulation protein AA	UPI001237BFB3	Bacillus sp. S3	207	486398
UniRef100_A0A6I6UJB0	Cluster: Stage V sporulation protein AA	A0A6I6UJB0	Rossellomorea vietnamensis	206	218284
UniRef100_A0A023CKN8	Cluster: Stage V sporulation protein AA	A0A023CKN8	Parageobacillus genomosp. 1	207	1295642
UniRef100_UPI0011A102B1	Cluster: stage V sporulation protein AA	UPI0011A102B1	Priestia flexa	206	86664
UniRef100_UPI0018CE7F85	Cluster: stage V sporulation protein AA	UPI0018CE7F85	Fictibacillus	206	1329200
UniRef100_A0A8E2I9V5	Cluster: Stage V sporulation protein AA	A0A8E2I9V5	Heyndrickxia oleronia	206	38875
UniRef100_UPI00082546F4	Cluster: stage V sporulation protein AA	UPI00082546F4	Neobacillus soli	207	220688
UniRef100_UPI00077C506B	Cluster: stage V sporulation protein AA	UPI00077C506B	Priestia flexa	206	86664
UniRef100_UPI0008F8DA13	Cluster: stage V sporulation protein AA	UPI0008F8DA13	Bacillus tuaregi	206	1816695
UniRef100_UPI000C8304AC	Cluster: stage V sporulation protein AA	UPI000C8304AC	Bacillus massiliigabonensis	206	1871011
UniRef100_A0A417YV86	Cluster: Stage V sporulation protein AA	A0A417YV86	Neobacillus notoginsengisoli	207	1578198
UniRef100_A0A7Z0PM53	Cluster: Stage V sporulation protein AA	A0A7Z0PM53	Bacillus sp. Gen3	206	2736284
UniRef100_A0A0Q3TAK3	Cluster: Stage V sporulation protein AA	A0A0Q3TAK3; A0A0M0XAX9	Cytobacillus solani; Bacillus sp. FJAT-21945	206	1637975; 1581033
UniRef100_A0A5J5HUZ5	Cluster: Stage V sporulation protein AA	A0A5J5HUZ5	Niallia endozanthoxylicus	206	2036016
UniRef100_A0A1N6N960	Cluster: Stage V sporulation protein AA	A0A1N6N960; A0A0V8JRB1	Priestia flexa; Priestia veravalensis	206	86664; 1414648
UniRef100_A0A5D4KGK0	Cluster: Stage V sporulation protein AA	A0A5D4KGK0; A0A5D4TQ09	Rossellomorea vietnamensis; Rossellomorea aquimaris	206	218284; 189382
UniRef100_UPI000824930D	Cluster: stage V sporulation protein AA	UPI000824930D	Metabacillus fastidiosus	206	1458
UniRef100_A0A4U1MHL4	Cluster: Stage V sporulation protein AA	A0A4U1MHL4	Alkalihalobacillus hwajinpoensis	205	208199
UniRef100_UPI001CFD753A	Cluster: stage V sporulation protein AA	UPI001CFD753A	Alkalihalobacillus hwajinpoensis	205	208199
UniRef100_UPI0008F8F272	Cluster: stage V sporulation protein AA	UPI0008F8F272	Bacillus mediterraneensis	206	1805474
UniRef100_UPI00110F2BBF	Cluster: stage V sporulation protein AA	UPI00110F2BBF	Bacillus sp. BHET2	206	2583818
UniRef100_A0A5D4NYT1	Cluster: Stage V sporulation protein AA	A0A5D4NYT1	Rossellomorea vietnamensis	206	218284
UniRef100_UPI00140A49A3	Cluster: stage V sporulation protein AA	UPI00140A49A3	Bacillaceae	207	186817
UniRef100_UPI0017862249	Cluster: stage V sporulation protein AA	UPI0017862249	Fictibacillus sp. Sa2CUA10	206	2762233
UniRef100_A0A1I0T8B0	Cluster: Stage V sporulation protein AA	A0A1I0T8B0	Parageobacillus thermantarcticus	207	186116
UniRef100_UPI0018F246D5	Cluster: stage V sporulation protein AA	UPI0018F246D5	Bacillus renqingensis	206	2780093
UniRef100_A0A7X0LUA2	Cluster: Stage V sporulation protein AA	A0A7X0LUA2	Bacillus benzoevorans	206	1456
UniRef100_A0A1V3G4X4	Cluster: Stage V sporulation protein AA	A0A1V3G4X4	Fictibacillus arsenicus	206	255247
UniRef100_A0A5D4RDI0	Cluster: Stage V sporulation protein AA	A0A5D4RDI0	Bacillus infantis	206	324767
UniRef100_A0A4R2BAE0	Cluster: Stage V sporulation protein AA	A0A4R2BAE0; UPI00104670D7	Mesobacillus foraminis	212	279826
UniRef100_UPI001BCA2E5D	Cluster: stage V sporulation protein AA	UPI001BCA2E5D	Bacillus sp. FJAT-49705	206	2833586
UniRef100_UPI0018CF1DFD	Cluster: stage V sporulation protein AA	UPI0018CF1DFD	Fictibacillus sp. 26RED30	206	2745877
UniRef100_UPI001BECBC4D	Cluster: stage V sporulation protein AA	UPI001BECBC4D	Bacillus sp. ISL-7	206	2819136
UniRef100_UPI001B324C89	Cluster: stage V sporulation protein AA	UPI001B324C89	Priestia flexa	206	86664
UniRef100_UPI0007173B01	Cluster: stage V sporulation protein AA	UPI0007173B01	Siminovitchia farraginis	206	254757
UniRef100_Q2B694	Cluster: Stage V sporulation protein AA	Q2B694; U5LC00; A0A5D4SW41; A0A2N5FVH2; A0A231WFZ5	Bacillus sp. NRRL B-14911; Bacillus infantis NRRL B-14911; Bacillus infantis; Bacillus sp. UMB0728; Bacillus sp. OG2	226	313627; 1367477; 324767; 2066052; 1979526
UniRef100_UPI0018CE3657	Cluster: stage V sporulation protein AA	UPI0018CE3657	Cytobacillus firmus (Bacillus firmus)	206	1399
UniRef100_UPI0002896CBA	Cluster: stage V sporulation protein AA	UPI0002896CBA	Bacillus timonensis	206	1033734
UniRef100_UPI000EF53D89	Cluster: stage V sporulation protein AA	UPI000EF53D89	Mesobacillus foraminis	206	279826
UniRef100_UPI0013D7F581	Cluster: stage V sporulation protein AA	UPI0013D7F581	Priestia flexa	206	86664
UniRef100_A0A168W3I4	Cluster: Stage V sporulation protein AA	A0A168W3I4	Fictibacillus phosphorivorans	206	1221500
UniRef100_A0A163R7C2	Cluster: Stage V sporulation protein AA	A0A163R7C2	Fictibacillus phosphorivorans	206	1221500
UniRef100_A0A513RJK7	Cluster: Stage V sporulation protein AA	A0A513RJK7	Bacillus sp. S3	228	486398
UniRef100_A0A0P6VXA1	Cluster: Stage V sporulation protein AA	A0A0P6VXA1	Rossellomorea vietnamensis	206	218284
UniRef100_UPI0015561956	Cluster: stage V sporulation protein AA	UPI0015561956	Bacillus haikouensis	206	1510468
UniRef100_UPI0011AA1208	Cluster: stage V sporulation protein AA	UPI0011AA1208	Fictibacillus phosphorivorans	206	1221500
UniRef100_UPI001C225940	Cluster: stage V sporulation protein AA	UPI001C225940	Cytobacillus oceanisediminis	206	665099
UniRef100_UPI001BEB4B00	Cluster: stage V sporulation protein AA	UPI001BEB4B00	Mesobacillus foraminis	206	279826
UniRef100_A0A6L3V9M1	Cluster: Stage V sporulation protein AA	A0A6L3V9M1	Cytobacillus depressus	206	1602942
UniRef100_A0A268IQG5	Cluster: Stage V sporulation protein AA	A0A268IQG5	Bacillus sp. 7894-2	206	2021695
UniRef100_A0A084GVY0	Cluster: Stage V sporulation protein AA	A0A084GVY0	Metabacillus indicus (Bacillus indicus)	206	246786
UniRef100_UPI00158D9173	Cluster: stage V sporulation protein AA	UPI00158D9173	Bacillus sp. Marseille-Q1617	206	2736887
UniRef100_UPI0018839D59	Cluster: stage V sporulation protein AA	UPI0018839D59	Alkalihalobacillus hwajinpoensis	205	208199
UniRef100_UPI000C0BD932	Cluster: stage V sporulation protein AA	UPI000C0BD932	Fredinandcohnia onubensis	206	1571209
UniRef100_UPI00082AB7CF	Cluster: stage V sporulation protein AA	UPI00082AB7CF	Bacillus sp. FJAT-29937	206	1720553
UniRef100_A0A7V9YX60	Cluster: Stage V sporulation protein AA	A0A7V9YX60	Anoxybacillus calidus	207	575178
UniRef100_UPI000CA3827A	Cluster: stage V sporulation protein AA	UPI000CA3827A	Priestia megaterium (Bacillus megaterium)	206	1404
UniRef100_UPI001CD7E467	Cluster: stage V sporulation protein AA	UPI001CD7E467	Rossellomorea aquimaris	206	189382
UniRef100_UPI00140D9099	Cluster: stage V sporulation protein AA	UPI00140D9099	Bacillus sp. Cs-700	205	2589818
UniRef100_UPI00047A7E10	Cluster: stage V sporulation protein AA	UPI00047A7E10	Bacillus sp. UNC41MFS5	206	1449046
UniRef100_UPI001A95C280	Cluster: stage V sporulation protein AA	UPI001A95C280	Telluribacter sp. SYSU D00476	205	2811430
UniRef100_A0A7Y5AYN0	Cluster: Stage V sporulation protein AA	A0A7Y5AYN0	Cytobacillus firmus (Bacillus firmus)	206	1399
UniRef100_A0A2B2C351	Cluster: Stage V sporulation protein AA	A0A2B2C351	Bacillus sp. AFS073361	206	2033511
UniRef100_UPI00071744D6	Cluster: stage V sporulation protein AA	UPI00071744D6	Fredinandcohnia humi	206	263474
UniRef100_UPI0019395C30	Cluster: stage V sporulation protein AA	UPI0019395C30	Metabacillus sp. cB07	206	2806989
UniRef100_UPI000994A5B0	Cluster: stage V sporulation protein AA	UPI000994A5B0	Priestia abyssalis	206	1221450
UniRef100_A0A5C6W7H9	Cluster: Stage V sporulation protein AA	A0A5C6W7H9	Metabacillus litoralis	208	152268
UniRef100_UPI0003FA66AB	Cluster: stage V sporulation protein AA	UPI0003FA66AB	Bacillus sp. FJAT-14578	206	1208600
UniRef100_UPI0004933FF7	Cluster: stage V sporulation protein AA	UPI0004933FF7	Metabacillus indicus (Bacillus indicus)	206	246786
UniRef100_A0A3Q9QWX1	Cluster: Stage V sporulation protein AA	A0A3Q9QWX1	Neobacillus mesonae	206	1193713
UniRef100_UPI001B0194AF	Cluster: stage V sporulation protein AA	UPI001B0194AF	Heyndrickxia oleronia	206	38875
UniRef100_A0A5R9EX61	Cluster: Stage V sporulation protein AA	A0A5R9EX61	Alkalihalobacillus caeni	207	2574798
UniRef100_A0A150LAG1	Cluster: Stage V sporulation protein AA	A0A150LAG1	Heyndrickxia sporothermodurans	206	46224
UniRef100_A0A2N5FE10	Cluster: Stage V sporulation protein AA	A0A2N5FE10	Bacillus sp. UMB0893	207	2066053
UniRef100_UPI001C88343A	Cluster: stage V sporulation protein AA	UPI001C88343A	Alkalihalobacillus sp. TS-13	228	2842455
UniRef100_UPI0011A5726F	Cluster: stage V sporulation protein AA	UPI0011A5726F	Bacillus sp. X1(2014)	206	1565991
UniRef100_UPI001CFD90ED	Cluster: stage V sporulation protein AA	UPI001CFD90ED	Metabacillus litoralis	207	152268
UniRef100_A0A1B1Z5L4	Cluster: Stage V sporulation protein AA	A0A1B1Z5L4	Fictibacillus arsenicus	206	255247
UniRef100_A0A4R4J9M2	Cluster: Stage V sporulation protein AA	A0A4R4J9M2	Bacillus sp. CBEL-1	206	2502980
UniRef100_UPI001CD31BC8	Cluster: stage V sporulation protein AA	UPI001CD31BC8	Cytobacillus kochii	206	859143
UniRef100_UPI00174CD56F	Cluster: stage V sporulation protein AA	UPI00174CD56F	Metabacillus idriensis	207	324768
UniRef100_A0A1Q8V0N6	Cluster: Stage V sporulation protein AA	A0A1Q8V0N6	Priestia megaterium (Bacillus megaterium)	206	1404
UniRef100_A0A0M2STY3	Cluster: Stage V sporulation protein AA	A0A0M2STY3	Mesobacillus campisalis	206	1408103
UniRef100_A0A371SH73	Cluster: Stage V sporulation protein AA	A0A371SH73	Bacillus sp. HNG	206	2293325
UniRef100_UPI001BEB5B51	Cluster: stage V sporulation protein AA	UPI001BEB5B51	Bacillus sp. ISL-75	206	2819137
UniRef100_A0A2A9CHW2	Cluster: Stage V sporulation protein AA	A0A2A9CHW2; A0A845EXL6	Bacillus sp. es.036; Alkalihalobacillus hwajinpoensis	205	1761764; 208199
UniRef100_UPI000417BB0D	Cluster: stage V sporulation protein AA	UPI000417BB0D	Priestia megaterium (Bacillus megaterium)	206	1404
UniRef100_UPI001BCE3371	Cluster: stage V sporulation protein AA	UPI001BCE3371	Mesobacillus boroniphilus	205	308892
UniRef100_UPI0018CD3A5A	Cluster: stage V sporulation protein AA	UPI0018CD3A5A	Fictibacillus sp. 18YEL24	206	2745875
UniRef100_A0A7V9Z3D8	Cluster: Stage V sporulation protein AA	A0A7V9Z3D8	Anoxybacillus caldiproteolyticus	207	247480
UniRef100_A0A6H1P876	Cluster: Stage V sporulation protein AA	A0A6H1P876	Priestia megaterium (Bacillus megaterium)	206	1404
UniRef100_A0A4R6AJ43	Cluster: Stage V sporulation protein AA	A0A4R6AJ43	[Brevibacterium] frigoritolerans	206	450367
UniRef100_UPI001356BE2C	Cluster: stage V sporulation protein AA	UPI001356BE2C	Bacillus sp. ZZV12-4809	206	2575830
UniRef100_UPI001C0ABCF9	Cluster: stage V sporulation protein AA	UPI001C0ABCF9	Priestia aryabhattai	206	412384
UniRef100_UPI001CBC6CD5	Cluster: stage V sporulation protein AA	UPI001CBC6CD5	Neobacillus bataviensis	206	220685
UniRef100_A0A380XX49	Cluster: Stage V sporulation protein AA	A0A380XX49; A0A268QZT7; UPI0015956B27	Cytobacillus firmus (Bacillus firmus); Alkalihalobacillus clausii (Bacillus clausii)	212	1399; 79880
UniRef100_UPI000BF721D7	Cluster: stage V sporulation protein AA	UPI000BF721D7	Priestia megaterium (Bacillus megaterium)	206	1404
UniRef100_A0A4U1DC34	Cluster: Stage V sporulation protein AA	A0A4U1DC34	Robertmurraya kyonggiensis	206	1037680
UniRef100_A0A6F8TTA3	Cluster: Stage V sporulation protein AA	A0A6F8TTA3	Bacillus sp. KH172YL63	206	2709784
UniRef100_A0A1L8ZLW5	Cluster: Stage V sporulation protein AA	A0A1L8ZLW5	Bacillus obstructivus	206	1914540
UniRef100_A0A2C3IBN8	Cluster: Stage V sporulation protein AA	A0A2C3IBN8	Priestia megaterium (Bacillus megaterium)	206	1404
UniRef100_A0A4S4BYT6	Cluster: Stage V sporulation protein AA	A0A4S4BYT6; UPI001D0DBC9E	Metabacillus sediminilitoris	208	2567941
UniRef100_A0A4Q7QR15	Cluster: Stage V sporulation protein AA	A0A4Q7QR15	Fictibacillus sp. BK138	206	2512121
UniRef100_A0A023DDV4	Cluster: Stage V sporulation protein AA	A0A023DDV4; A0A150LC18	Parageobacillus caldoxylosilyticus NBRC 107762; Parageobacillus caldoxylosilyticus	207	1220594; 81408
UniRef100_A0A8A7GJK9	Cluster: Stage V sporulation protein AA	A0A8A7GJK9; A0A2B0ANF5; A0A8D4BI82	Priestia aryabhattai; Priestia megaterium (Bacillus megaterium); Priestia megaterium (strain WSH-002) (Bacillus megaterium)	206	412384; 1404; 1006007
UniRef100_A0A1B9B650	Cluster: Stage V sporulation protein AA	A0A1B9B650	Bacillus sp. FJAT-27225	206	1743144
UniRef100_A0A1H8BVP3	Cluster: Stage V sporulation protein AA	A0A1H8BVP3; UPI000B8267E6	Mesobacillus persicus	212	930146
UniRef100_UPI001AE03D57	Cluster: stage V sporulation protein AA	UPI001AE03D57	Priestia megaterium (Bacillus megaterium)	206	1404
UniRef100_A0A6B3RAZ0	Cluster: Stage V sporulation protein AA	A0A6B3RAZ0	Priestia megaterium (Bacillus megaterium)	206	1404
UniRef100_UPI000BEC7A9C	Cluster: stage V sporulation protein AA	UPI000BEC7A9C	Priestia megaterium (Bacillus megaterium)	206	1404
UniRef100_UPI00047C985C	Cluster: stage V sporulation protein AA	UPI00047C985C	Bacillus sp. UNC438CL73TsuS30	206	1340434
UniRef100_UPI00140B09A5	Cluster: stage V sporulation protein AA	UPI00140B09A5	Bacillus sp. MM2020_1	206	2714038
UniRef100_A0A369C060	Cluster: Stage V sporulation protein AA	A0A369C060	Bacillus sp. AG236	206	2184002
UniRef100_A0A2N6RN36	Cluster: Stage V sporulation protein AA	A0A2N6RN36	Bacillus sp. UMB0899	209	2029108
UniRef100_UPI001C67626B	Cluster: stage V sporulation protein AA	UPI001C67626B	Anoxybacillus calidus	227	575178
UniRef100_A0A1S2C1Z1	Cluster: Stage V sporulation protein AA	A0A1S2C1Z1	Priestia aryabhattai	206	412384
UniRef100_UPI001CBBC75A	Cluster: stage V sporulation protein AA	UPI001CBBC75A	Bacillus sp. BY2G20	206	2874282
UniRef100_UPI001BCA1390	Cluster: stage V sporulation protein AA	UPI001BCA1390	unclassified Bacillus (in: Bacteria)	206	185979
UniRef100_UPI001581BCE2	Cluster: stage V sporulation protein AA	UPI001581BCE2	Parageobacillus sp. VR-IP	207	2742205
UniRef100_UPI0006A7874F	Cluster: stage V sporulation protein AA	UPI0006A7874F	Bacillaceae	207	186817
UniRef100_A0A1I2PK80	Cluster: Stage V sporulation protein AA	A0A1I2PK80	Priestia megaterium (Bacillus megaterium)	206	1404
UniRef100_A0A6M6DQR2	Cluster: Stage V sporulation protein AA	A0A6M6DQR2; A0A0B6A9V8	Priestia megaterium (Bacillus megaterium); Priestia megaterium (strain ATCC 14581 / DSM 32 / CCUG 1817 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / NRRL B-14308 / VKM B-512 / Ford 19) (Bacillus megaterium)	206	1404; 1348623
UniRef100_UPI00133199CB	Cluster: stage V sporulation protein AA	UPI00133199CB	Cytobacillus firmus (Bacillus firmus)	206	1399
UniRef100_UPI000942A93B	Cluster: stage V sporulation protein AA	UPI000942A93B; UPI001F3B0E80	Bacillus cereus	206	1396
UniRef100_A0A385NWM7	Cluster: Stage V sporulation protein AA	A0A385NWM7	Bacillus sp. Y1	206	352858
UniRef100_UPI0018F16CF8	Cluster: stage V sporulation protein AA	UPI0018F16CF8	Anoxybacillus caldiproteolyticus	207	247480
UniRef100_UPI0011435C11	Cluster: stage V sporulation protein AA	UPI0011435C11	Bacillus sp. 03113	206	2578211
UniRef100_A0A6L5AUU7	Cluster: Stage V sporulation protein AA (SpoVAA)	A0A6L5AUU7	Bacillus sp. ZZV12-4809	212	2575830
UniRef100_UPI001BEA6F0A	Cluster: stage V sporulation protein AA	UPI001BEA6F0A	unclassified Bacillus (in: Bacteria)	206	185979
UniRef100_UPI000BF54BAC	Cluster: stage V sporulation protein AA	UPI000BF54BAC	Bacillus cereus	206	1396
UniRef100_A0A7H1TCR3	Cluster: Stage V sporulation protein AA	A0A7H1TCR3	Geobacillus sp. 44B	207	1963023
UniRef100_UPI000BF8283D	Cluster: stage V sporulation protein AA	UPI000BF8283D	Bacillus cereus	206	1396
UniRef100_A0A1G9W3Z7	Cluster: Stage V sporulation protein AA	A0A1G9W3Z7	Fictibacillus solisalsi	207	459525
UniRef100_UPI001664C3A1	Cluster: stage V sporulation protein AA	UPI001664C3A1	Fictibacillus barbaricus	206	182136
UniRef100_UPI00041C020A	Cluster: stage V sporulation protein AA	UPI00041C020A	Ectobacillus panaciterrae	206	363872
UniRef100_UPI0018770105	Cluster: stage V sporulation protein AA	UPI0018770105	Bacillus thuringiensis	206	1428
UniRef100_UPI00077A3ECE	Cluster: stage V sporulation protein AA	UPI00077A3ECE	Bacillus cereus	206	1396
