yourlist:M202206216320BA52A5CE8FCD097CB85A53697A355200ED8	Cluster ID	Cluster name	Cluster members	Organisms	Length	Organism IDs
UniRef100_UPI000BB9A325	UniRef100_UPI000BB9A325	Cluster: stage V sporulation protein AE	UPI000BB9A325	Bacillus sp. FJAT-44876	116	2011013
UniRef100_UPI000BBAB3F0	UniRef100_UPI000BBAB3F0	Cluster: stage V sporulation protein AE	UPI000BBAB3F0	Alteribacter populi	116	2011011
UniRef100_A0A1Y0CNQ7	UniRef100_A0A1Y0CNQ7	Cluster: Stage V sporulation protein AE	A0A1Y0CNQ7	Sutcliffiella horikoshii	116	79883
UniRef100_UPI000EABD5D3	UniRef100_UPI000EABD5D3	Cluster: stage V sporulation protein AE	UPI000EABD5D3	Ferdinandcohnia aciditolerans (strain JCM 32973 / CCTCC AB 2017280 / YN-1) (Bacillus aciditolerans)	116	72581
UniRef100_UPI0019616FA2	UniRef100_UPI0019616FA2	Cluster: stage V sporulation protein AE	UPI0019616FA2	Thalassobacillus pellis	116	748008
UniRef100_UPI0002D92800	UniRef100_UPI0002D92800	Cluster: stage V sporulation protein AE	UPI0002D92800	Robertmurraya massiliosenegalensis	116	1287657
UniRef100_A0A0J1HPK8	UniRef100_A0A0J1HPK8	Cluster: Stage V sporulation protein AEB	A0A0J1HPK8; A0A6I1EUP8	Niallia circulans (Bacillus circulans); Bacillus sp. B1-b2	116	1397; 2653201
UniRef100_A0A098FEJ7	UniRef100_A0A098FEJ7	Cluster: Stage V sporulation protein AE	A0A098FEJ7; UPI00080A8139; UPI000AD2E070	Peribacillus simplex; unclassified Bacillus (in: Bacteria); Bacillus sp. 445_BSPC	116	1478; 185979; 1581712
UniRef100_UPI000289E461	UniRef100_UPI000289E461	Cluster: stage V sporulation protein AE	UPI000289E461	Oceanobacillus massiliensis	116	1465765
UniRef100_A0A2N6RMY4	UniRef100_A0A2N6RMY4	Cluster: Stage V sporulation protein AE	A0A2N6RMY4	Bacillus sp. UMB0899	116	2029108
UniRef100_UPI00037CF1C4	UniRef100_UPI00037CF1C4	Cluster: stage V sporulation protein AE	UPI00037CF1C4	Paenibacillus terrigena	116	369333
UniRef100_UPI000CCC6BF9	UniRef100_UPI000CCC6BF9	Cluster: stage V sporulation protein AE	UPI000CCC6BF9	Brevibacillus reuszeri	116	54915
UniRef100_UPI0007AC1C4B	UniRef100_UPI0007AC1C4B	Cluster: stage V sporulation protein AE	UPI0007AC1C4B	Brevibacillus parabrevis	116	54914
UniRef100_A0A1L3MQB9	UniRef100_A0A1L3MQB9	Cluster: Stage V sporulation protein AE	A0A1L3MQB9	Bacillus weihaiensis	116	1547283
UniRef100_A0A1H0SWR4	UniRef100_A0A1H0SWR4	Cluster: Stage V sporulation protein AE	A0A1H0SWR4	Halobacillus aidingensis	116	240303
UniRef100_UPI000361A865	UniRef100_UPI000361A865	Cluster: stage V sporulation protein AE	UPI000361A865	Alkalihalobacillus ligniniphilus	116	1134413
UniRef100_UPI00047B52C4	UniRef100_UPI00047B52C4	Cluster: stage V sporulation protein AE	UPI00047B52C4	Alkalihalobacillus bogoriensis	116	246272
UniRef100_A0A5C8P2M1	UniRef100_A0A5C8P2M1	Cluster: Stage V sporulation protein AE	A0A5C8P2M1	Cerasibacillus terrae	116	2498845
UniRef100_A0A410M730	UniRef100_A0A410M730	Cluster: Stage V sporulation protein AE	A0A410M730	Halobacillus litoralis	116	45668
UniRef100_A0A150N6K5	UniRef100_A0A150N6K5	Cluster: Uncharacterized protein	A0A150N6K5; A0A0Q1IGI1	Geobacillus stearothermophilus (Bacillus stearothermophilus); Geobacillus sp. Sah69	118	1422; 1737624
UniRef100_A0A6N8FQF2	UniRef100_A0A6N8FQF2	Cluster: Stage V sporulation protein AE	A0A6N8FQF2	Ornithinibacillus caprae	116	2678566
UniRef100_UPI0015E7C00B	UniRef100_UPI0015E7C00B	Cluster: stage V sporulation protein AE	UPI0015E7C00B	Thalassobacillus sp. CUG 92003	116	2736641
UniRef100_UPI000A1C8FAE	UniRef100_UPI000A1C8FAE	Cluster: stage V sporulation protein AE	UPI000A1C8FAE; UPI001E2CE8E8	Thalassobacillus devorans	116	279813
UniRef100_UPI000B430BB5	UniRef100_UPI000B430BB5	Cluster: stage V sporulation protein AE	UPI000B430BB5	Alkalihalobacillus urbisdiaboli	116	1960589
UniRef100_A0A2W0HQM7	UniRef100_A0A2W0HQM7	Cluster: Stage V sporulation protein AE	A0A2W0HQM7	Bacillus lacisalsi	116	2045244
UniRef100_A0A0X8DB08	UniRef100_A0A0X8DB08	Cluster: Stage V sporulation protein AEB	A0A0X8DB08; A0A1G8D557	Aneurinibacillus sp. XH2; Aneurinibacillus thermoaerophilus	116	1450761; 143495
UniRef100_UPI0007847467	UniRef100_UPI0007847467	Cluster: stage V sporulation protein AE	UPI0007847467	Thalassobacillus devorans	116	279813
UniRef100_UPI00195FFBD0	UniRef100_UPI00195FFBD0	Cluster: stage V sporulation protein AE	UPI00195FFBD0	Thalassobacillus pellis	116	748008
UniRef100_UPI00101DA803	UniRef100_UPI00101DA803	Cluster: stage V sporulation protein AE	UPI00101DA803	Ectobacillus funiculus	116	137993
UniRef100_UPI001CBDA300	UniRef100_UPI001CBDA300	Cluster: stage V sporulation protein AE	UPI001CBDA300	Sutcliffiella horikoshii	116	79883
UniRef100_UPI000996DF77	UniRef100_UPI000996DF77	Cluster: stage V sporulation protein AE	UPI000996DF77	Bacillus alkalicellulosilyticus	116	1912214
UniRef100_A0A269WAJ0	UniRef100_A0A269WAJ0	Cluster: Stage V sporulation protein AE	A0A269WAJ0; A0A268F4G8	Paenibacillus sp. 7541; Paenibacillus campinasensis	116	2026236; 66347
UniRef100_UPI000372D1D7	UniRef100_UPI000372D1D7	Cluster: stage V sporulation protein AE	UPI000372D1D7	Salsuginibacillus kocurii	116	427078
UniRef100_UPI00073F1549	UniRef100_UPI00073F1549	Cluster: stage V sporulation protein AE	UPI00073F1549	Paenibacillus senegalimassiliensis	116	1737426
UniRef100_A0A7Y0KD97	UniRef100_A0A7Y0KD97	Cluster: Stage V sporulation protein AE	A0A7Y0KD97	Niallia alba	116	2729105
UniRef100_UPI000D0E3AC7	UniRef100_UPI000D0E3AC7	Cluster: stage V sporulation protein AE	UPI000D0E3AC7	Paenibacillus faecalis	116	2079532
UniRef100_A0A023CTG8	UniRef100_A0A023CTG8	Cluster: Stage V sporulation protein AE	A0A023CTG8	Parageobacillus genomosp. 1	118	1295642
UniRef100_A0A1H4CGG6	UniRef100_A0A1H4CGG6	Cluster: Stage V sporulation protein AE	A0A1H4CGG6	Thalassobacillus cyri	116	571932
UniRef100_UPI00194F8B17	UniRef100_UPI00194F8B17	Cluster: stage V sporulation protein AE	UPI00194F8B17	Bacillus sp. RD4P76	116	2810349
UniRef100_A0A5C6WA27	UniRef100_A0A5C6WA27	Cluster: Stage V sporulation protein AE	A0A5C6WA27	Metabacillus litoralis	116	152268
UniRef100_A0A7V6XMI2	UniRef100_A0A7V6XMI2	Cluster: Stage V sporulation protein AE	A0A7V6XMI2	Bacilli bacterium	116	1903720
UniRef100_A0A1I2MXG7	UniRef100_A0A1I2MXG7	Cluster: Stage V sporulation protein AE	A0A1I2MXG7	Planifilum fulgidum	116	201973
UniRef100_A0A3S0JXI7	UniRef100_A0A3S0JXI7	Cluster: Stage V sporulation protein AE	A0A3S0JXI7	Bacillus yapensis	116	2492960
UniRef100_UPI00048A44F5	UniRef100_UPI00048A44F5	Cluster: stage V sporulation protein AE	UPI00048A44F5	Thalassobacillus devorans	116	279813
UniRef100_UPI000D37F790	UniRef100_UPI000D37F790	Cluster: stage V sporulation protein AE	UPI000D37F790	Ureibacillus chungkukjangi	116	1202712
UniRef100_UPI000BB84948	UniRef100_UPI000BB84948	Cluster: stage V sporulation protein AE	UPI000BB84948	Bacillus sp. FJAT-45350	116	2011014
UniRef100_A0A3M8D1Y2	UniRef100_A0A3M8D1Y2	Cluster: Stage V sporulation protein AE	A0A3M8D1Y2	Brevibacillus fluminis	116	511487
UniRef100_A0A3M8ANG6	UniRef100_A0A3M8ANG6	Cluster: Stage V sporulation protein AE	A0A3M8ANG6	Brevibacillus gelatini	116	1655277
UniRef100_A0A2N5FGT7	UniRef100_A0A2N5FGT7	Cluster: Stage V sporulation protein AE	A0A2N5FGT7	Bacillus sp. UMB0893	116	2066053
UniRef100_A0A0J5GZE8	UniRef100_A0A0J5GZE8	Cluster: Stage V sporulation protein AEB	A0A0J5GZE8	Bacillus sp. LL01	116	1665556
UniRef100_UPI000400F26D	UniRef100_UPI000400F26D	Cluster: stage V sporulation protein AE	UPI000400F26D	Salibacterium aidingense	116	384933
UniRef100_A0A263BUI3	UniRef100_A0A263BUI3	Cluster: Stage V sporulation protein AE	A0A263BUI3; UPI0018E99301	Lottiidibacillus patelloidae	117	2670334
UniRef100_A0A0Q0Z2P1	UniRef100_A0A0Q0Z2P1	Cluster: Stage V sporulation protein AEB	A0A0Q0Z2P1; A0A1W6VP96; A4ILB1	Geobacillus sp. PA-3; Geobacillus thermodenitrificans; Geobacillus thermodenitrificans (strain NG80-2)	118	1699078; 33940; 420246
UniRef100_A0A0F2Q0T7	UniRef100_A0A0F2Q0T7	Cluster: Stage V sporulation protein AEB	A0A0F2Q0T7	Peptococcaceae bacterium BRH_c4b	117	1629717
UniRef100_A0A1H9A0E8	UniRef100_A0A1H9A0E8	Cluster: Stage V sporulation protein AE	A0A1H9A0E8; UPI000B873C83	Piscibacillus halophilus	118	571933
UniRef100_A0A1I4M727	UniRef100_A0A1I4M727	Cluster: Stage V sporulation protein AE	A0A1I4M727	Salibacterium qingdaonense	116	266892
UniRef100_UPI0006D5521A	UniRef100_UPI0006D5521A	Cluster: stage V sporulation protein AE	UPI0006D5521A	Paenibacillus dakarensis	116	1527293
UniRef100_A0A5R9F463	UniRef100_A0A5R9F463	Cluster: Stage V sporulation protein AE	A0A5R9F463	Alkalihalobacillus caeni	116	2574798
UniRef100_UPI00110EA687	UniRef100_UPI00110EA687	Cluster: stage V sporulation protein AE	UPI00110EA687	Alteribacter natronophilus	116	2583810
UniRef100_A0A5P9HQ28	UniRef100_A0A5P9HQ28	Cluster: SpoVA protein	A0A5P9HQ28	Bacillus sp. THAF10	116	2587848
UniRef100_UPI0018668403	UniRef100_UPI0018668403	Cluster: stage V sporulation protein AE	UPI0018668403	Anoxybacillus flavithermus	118	33934
UniRef100_Q9KCK1	UniRef100_Q9KCK1	Cluster: Sporulation protein	Q9KCK1; A0A0M0KLG4	Alkalihalobacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans); Alkalihalobacillus halodurans (Bacillus halodurans)	116	272558; 86665
UniRef100_UPI000287DE78	UniRef100_UPI000287DE78	Cluster: stage V sporulation protein AE	UPI000287DE78	Paenibacillus senegalensis	118	1465766
UniRef100_UPI001A909415	UniRef100_UPI001A909415	Cluster: stage V sporulation protein AE	UPI001A909415	Halobacillus	116	45667
UniRef100_A0A433RLE7	UniRef100_A0A433RLE7	Cluster: Stage V sporulation protein AE	A0A433RLE7	Cohnella sp. AR92	116	648716
UniRef100_A0A1G8WFB0	UniRef100_A0A1G8WFB0	Cluster: Stage V sporulation protein AE	A0A1G8WFB0	Sediminibacillus albus	116	407036
UniRef100_A0A1I2PJU1	UniRef100_A0A1I2PJU1	Cluster: Stage V sporulation protein AE	A0A1I2PJU1; A0A0B6AWK4; A0A0Q9HM65	Priestia megaterium (Bacillus megaterium); Priestia megaterium (strain ATCC 14581 / DSM 32 / CCUG 1817 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / NRRL B-14308 / VKM B-512 / Ford 19) (Bacillus megaterium); Bacillus sp. Root239	116	1404; 1348623; 1736499
UniRef100_UPI000BB722A5	UniRef100_UPI000BB722A5	Cluster: stage V sporulation protein AE	UPI000BB722A5	Bacillus	116	1386
UniRef100_Q5L1P0	UniRef100_Q5L1P0	Cluster: Stage V sporulation protein AE	Q5L1P0	Geobacillus kaustophilus (strain HTA426)	117	235909
UniRef100_A0A150KKQ2	UniRef100_A0A150KKQ2	Cluster: Uncharacterized protein	A0A150KKQ2	Heyndrickxia sporothermodurans	116	46224
UniRef100_A0A4Q1T0Y9	UniRef100_A0A4Q1T0Y9	Cluster: Stage V sporulation protein AE	A0A4Q1T0Y9	Ammoniphilus sp. CFH 90114	117	2493665
UniRef100_A0A023DJC9	UniRef100_A0A023DJC9	Cluster: Stage V sporulation protein AE	A0A023DJC9; A0A150LF32; A0A7H1TH23	Parageobacillus caldoxylosilyticus NBRC 107762; Parageobacillus caldoxylosilyticus; Geobacillus sp. 44B	118	1220594; 81408; 1963023
UniRef100_X0RNG2	UniRef100_X0RNG2	Cluster: Stage V sporulation protein AE	X0RNG2; A0A161Q817	Bacillus sp. TS-2; Alkalihalobacillus trypoxylicola	116	1450694; 519424
UniRef100_A0A1S2LEB2	UniRef100_A0A1S2LEB2	Cluster: Stage V sporulation protein AE	A0A1S2LEB2	Anaerobacillus alkalilacustris	116	393763
UniRef100_A0A060LWV2	UniRef100_A0A060LWV2	Cluster: Stage V sporulation protein AEB	A0A060LWV2; A0A3N9PWQ2; A0A4Y7WPP6	Alkalihalobacillus lehensis G1; Bacillus sp. C1-1; Alkalihalobacillus lehensis	116	1246626; 2491024; 300825
UniRef100_A0A1S2LTQ6	UniRef100_A0A1S2LTQ6	Cluster: Stage V sporulation protein AE	A0A1S2LTQ6	Anaerobacillus arseniciselenatis	116	85682
UniRef100_UPI0004B3E930	UniRef100_UPI0004B3E930	Cluster: stage V sporulation protein AE	UPI0004B3E930	Paucisalibacillus sp. EB02	116	1347087
UniRef100_UPI000BB6ACBE	UniRef100_UPI000BB6ACBE	Cluster: stage V sporulation protein AE	UPI000BB6ACBE	Geobacillus	118	129337
UniRef100_UPI001CFF5300	UniRef100_UPI001CFF5300	Cluster: stage V sporulation protein AE	UPI001CFF5300	Metabacillus litoralis	116	152268
UniRef100_A0A3E0J7V7	UniRef100_A0A3E0J7V7	Cluster: Stage V sporulation protein AE	A0A3E0J7V7	Halobacillus trueperi	116	156205
UniRef100_A0A142CYQ3	UniRef100_A0A142CYQ3	Cluster: Stage V sporulation protein AE	A0A142CYQ3; A0A1Q5SYR4; A0A553M1I4; A0A0N0I5X1; A0A7U9ESH4; A0A250DXR7; A0A7U9P620; A0A063YSL8; A0A063YVZ1; A0A0J0V1K2; A0A1V4PBV6; A0A1V9BWS5; A0A1C3DAI1; A0A2H5KG70; A0A0D8BNH0; A0A4Q1S610; A0A0E0T9A6; A0A1V9C2J4; A0A4D7Q902	Geobacillus sp. JS12; Geobacillus proteiniphilus; Geobacillus sp. LEMMJ02; Geobacillus sp. BCO2; Geobacillus sp. A8; Geobacillus stearothermophilus (Bacillus stearothermophilus); Geobacillus thermopakistaniensis (strain MAS1); Geobacillus sp. CAMR12739; Geobacillus sp. CAMR5420; Geobacillus sp. T6	118	1813182; 860353; 2595057; 1547578; 1095383; 1422; 1408282; 1482738; 1482739; 1659191; 1954237; 33938; 33941; 1394; 1462; 2508525; 550542; 213419; 1220595
UniRef100_UPI000F460EA0	UniRef100_UPI000F460EA0	Cluster: stage V sporulation protein AE	UPI000F460EA0	Virgibacillus sp. LJ137	116	2293253
UniRef100_UPI0012E1A49A	UniRef100_UPI0012E1A49A	Cluster: stage V sporulation protein AE	UPI0012E1A49A	Oceanobacillus salinisoli	116	2678611
UniRef100_A0A7Y0K8Z8	UniRef100_A0A7Y0K8Z8	Cluster: Stage V sporulation protein AE	A0A7Y0K8Z8; A0A2C1KBU7; A0A2N5FPW5	Niallia alba; Bacillus sp. AFS040349; Bacillus sp. UMB0728	116	2729105; 2033502; 2066052
UniRef100_S5ZLG6	UniRef100_S5ZLG6	Cluster: Stage V sporulation protein AEB	S5ZLG6	Bacillus sp. (strain JF8)	118	1921421
UniRef100_UPI0012472F40	UniRef100_UPI0012472F40	Cluster: stage V sporulation protein AE	UPI0012472F40	Bacillus methanolicus	116	1471
UniRef100_UPI000781B761	UniRef100_UPI000781B761	Cluster: stage V sporulation protein AE	UPI000781B761	Thalassobacillus devorans	116	279813
UniRef100_UPI001CBAD1A7	UniRef100_UPI001CBAD1A7	Cluster: stage V sporulation protein AE	UPI001CBAD1A7	Bacillus sp. DG-18	116	2875501
UniRef100_UPI001266931C	UniRef100_UPI001266931C	Cluster: stage V sporulation protein AE	UPI001266931C	Paenibacillus guangzhouensis	116	1473112
UniRef100_UPI000B2BDA89	UniRef100_UPI000B2BDA89	Cluster: stage V sporulation protein AE	UPI000B2BDA89	Alkalihalobacillus pseudofirmus (Bacillus pseudofirmus)	116	79885
UniRef100_UPI00064DD59A	UniRef100_UPI00064DD59A	Cluster: stage V sporulation protein AE	UPI00064DD59A	Ornithinibacillus californiensis	116	161536
UniRef100_UPI001B8D394D	UniRef100_UPI001B8D394D	Cluster: stage V sporulation protein AE	UPI001B8D394D	Metabacillus sp. KIGAM252	116	2823519
UniRef100_UPI000A1CEC53	UniRef100_UPI000A1CEC53	Cluster: stage V sporulation protein AE	UPI000A1CEC53	Thalassobacillus devorans	116	279813
UniRef100_A0A0B0IDF5	UniRef100_A0A0B0IDF5	Cluster: Stage V sporulation protein AEB	A0A0B0IDF5	Alkalihalobacillus okhensis	116	333138
UniRef100_A0A1V9B858	UniRef100_A0A1V9B858	Cluster: Stage V sporulation protein AE	A0A1V9B858	Geobacillus sp. 46C-IIa	118	1963025
UniRef100_A0A1I5NVM2	UniRef100_A0A1I5NVM2	Cluster: Stage V sporulation protein AE	A0A1I5NVM2	Salibacterium halotolerans	116	1884432
UniRef100_UPI00040D1065	UniRef100_UPI00040D1065	Cluster: stage V sporulation protein AE	UPI00040D1065	Bacillaceae	116	186817
UniRef100_A0A1X7HLC4	UniRef100_A0A1X7HLC4	Cluster: Stage V sporulation protein AE	A0A1X7HLC4	Paenibacillus uliginis N3/975	116	1313296
UniRef100_UPI00036B4FE5	UniRef100_UPI00036B4FE5	Cluster: stage V sporulation protein AE	UPI00036B4FE5	Cohnella laeviribosi	116	380174
UniRef100_UPI00048D53EA	UniRef100_UPI00048D53EA	Cluster: stage V sporulation protein AE	UPI00048D53EA	Paenibacillus sp. UNC451MF	116	1449063
UniRef100_A0A0M0KZ01	UniRef100_A0A0M0KZ01	Cluster: Stage V sporulation protein AEB	A0A0M0KZ01	Priestia koreensis	116	284581
UniRef100_UPI0015548BB7	UniRef100_UPI0015548BB7	Cluster: stage V sporulation protein AE	UPI0015548BB7	Bacillus sp. WMMC1349	116	2736254
UniRef100_S7SYW3	UniRef100_S7SYW3	Cluster: Stage V sporulation protein AE	S7SYW3; A0A098L4X5; U2X3N3; G8MXX6	Geobacillus sp. WSUCF1; Geobacillus thermoleovorans B23; Geobacillus kaustophilus GBlys; Geobacillus thermoleovorans CCB_US3_UF5	124	886559; 1406857; 1337888; 1111068
UniRef100_UPI001A9F304C	UniRef100_UPI001A9F304C	Cluster: stage V sporulation protein AE	UPI001A9F304C	Metabacillus sp. BG109	116	2795218
UniRef100_A0A561X0W6	UniRef100_A0A561X0W6	Cluster: Stage V sporulation protein AE	A0A561X0W6	Geobacillus sp. C56-T2	118	600773
UniRef100_A0A841T2P9	UniRef100_A0A841T2P9	Cluster: Stage V sporulation protein AE	A0A841T2P9	Cohnella thailandensis	116	557557
UniRef100_UPI000B445AB4	UniRef100_UPI000B445AB4	Cluster: stage V sporulation protein AE	UPI000B445AB4	Bacillaceae	116	186817
UniRef100_UPI00166A37DD	UniRef100_UPI00166A37DD	Cluster: stage V sporulation protein AE	UPI00166A37DD	Halobacillus andaensis	116	1176239
UniRef100_A0A1X9MDN9	UniRef100_A0A1X9MDN9	Cluster: SpoVA protein	A0A1X9MDN9; UPI001F3F4999	Alkalihalobacillus krulwichiae	116	199441
UniRef100_W7ZJD0	UniRef100_W7ZJD0	Cluster: Stage V sporulation protein AE	W7ZJD0	Bacillus sp. JCM 19047	116	1460641
UniRef100_A0A848M1R4	UniRef100_A0A848M1R4	Cluster: Stage V sporulation protein AE	A0A848M1R4	Paenibacillus lemnae	116	1330551
