Cluster ID	Cluster name	Cluster members	Organisms	Length	Size	Organism IDs
UniRef100_UPI001CD26A90	Cluster: stage V sporulation protein AC	UPI001CD26A90	Bacillus safensis	150	1	561879
UniRef100_A0A084GVX8	Cluster: Stage V sporulation protein AC	A0A084GVX8	Metabacillus indicus (Bacillus indicus)	149	1	246786
UniRef100_A0A0N8HWS3	Cluster: Stage V sporulation protein AC	A0A0N8HWS3	Bacillus australimaris	150	1	1326968
UniRef100_UPI00195CF69D	Cluster: stage V sporulation protein AC	UPI00195CF69D	Bacillus tianshenii	152	1	1463404
UniRef100_A0A8F4VG03	Cluster: Stage V sporulation protein AC	A0A8F4VG03; G4NW38; A0A410WFK6	Bacillus spizizenii (Bacillus subtilis subsp. spizizenii); Bacillus spizizenii (strain DSM 15029 / JCM 12233 / NBRC 101239 / NRRL B-23049 / TU-B-10) (Bacillus subtilis subsp. spizizenii); Bacillus vallismortis	150	3	96241; 1052585; 72361
UniRef100_UPI00128B8B6A	Cluster: stage V sporulation protein AC	UPI00128B8B6A	Bacillus paralicheniformis	149	1	1648923
UniRef100_UPI0006731BE4	Cluster: stage V sporulation protein AC	UPI0006731BE4	Thermoactinomyces vulgaris	156	1	2026
UniRef100_A0A7X8MY91	Cluster: Stage V sporulation protein AC	A0A7X8MY91	Bacillus sp. RO1	152	1	2722703
UniRef100_UPI00075151F5	Cluster: stage V sporulation protein AC	UPI00075151F5	Bacillus	150	1	1386
UniRef100_UPI000C782FD0	Cluster: stage V sporulation protein AC	UPI000C782FD0	Bacillus subtilis	150	1	1423
UniRef100_UPI000C9A020C	Cluster: stage V sporulation protein AC	UPI000C9A020C	Priestia	153	1	2800373
UniRef100_UPI00077850BE	Cluster: stage V sporulation protein AC	UPI00077850BE	Bacillus nakamurai	150	1	1793963
UniRef100_UPI001293208C	Cluster: stage V sporulation protein AC	UPI001293208C	Priestia	153	1	2800373
UniRef100_A0A8D4AS79	Cluster: Stage V sporulation protein AC	A0A8D4AS79	Alkalihalobacillus gibsonii	150	1	79881
UniRef100_UPI001C0D35FD	Cluster: stage V sporulation protein AC	UPI001C0D35FD	Priestia aryabhattai	153	1	412384
UniRef100_A0A0M4FWV9	Cluster: Stage V sporulation protein AC	A0A0M4FWV9	Bacillus gobiensis	149	1	1441095
UniRef100_A0A5D4TFE7	Cluster: Stage V sporulation protein AC	A0A5D4TFE7	Sutcliffiella horikoshii	152	1	79883
UniRef100_A0A120ED97	Cluster: Stage V sporulation protein AC	A0A120ED97; A0A369C1S8	Priestia megaterium (Bacillus megaterium); Bacillus sp. AG236	153	2	1404; 2184002
UniRef100_UPI0019263BFB	Cluster: stage V sporulation protein AC	UPI0019263BFB	Bacillus sp. RHFS10	150	1	2804501
UniRef100_UPI001C241220	Cluster: stage V sporulation protein AC	UPI001C241220	Bacillus subtilis	150	1	1423
UniRef100_P40868	Cluster: Stage V sporulation protein AC	P40868; A0A6M4JND0; A0A8F7XE51; A0A080UDH0; A0A6I4DIU7; D4FYB6; G4EU91; A0A1Q9FYV5; E0U213; M4KUL1; A0A6H0H4V6; A0A8E0SGS0; UPI000516C8C9; UPI00103FEDF4	Bacillus subtilis (strain 168); Bacillus sp. LJBS17; Bacillus subtilis; Bacillus subtilis subsp. subtilis; Bacillus subtilis subsp. natto (strain BEST195); Bacillus subtilis subsp. subtilis str. SC-8; Bacillus licheniformis; Bacillus spizizenii (strain ATCC 23059 / NRRL B-14472 / W23) (Bacillus subtilis subsp. spizizenii); Bacillus subtilis XF-1; Bacillus subtilis subsp. subtilis str. SMY	150	14	224308; 2859227; 1423; 135461; 645657; 1089443; 1402; 655816; 1233100; 535024; 2597344; 573
UniRef100_UPI001C8E9648	Cluster: stage V sporulation protein AC	UPI001C8E9648	Priestia aryabhattai	153	1	412384
UniRef100_UPI0013D59761	Cluster: stage V sporulation protein AC	UPI0013D59761	Bacillus licheniformis	149	1	1402
UniRef100_W7RQD9	Cluster: Stage V sporulation protein AC	W7RQD9	Bacillus haynesii	149	1	1925021
UniRef100_UPI00059761E1	Cluster: stage V sporulation protein AC	UPI00059761E1	Bacillus safensis	150	1	561879
UniRef100_A0A1L6ZMR0	Cluster: Stage V sporulation protein AC	A0A1L6ZMR0	Bacillus safensis	150	1	561879
UniRef100_UPI000FDAE014	Cluster: stage V sporulation protein AC	UPI000FDAE014	Bacillus halotolerans	150	1	260554
UniRef100_A0A5M8RSK8	Cluster: Stage V sporulation protein AC	A0A5M8RSK8	Bacillus swezeyi	149	1	1925020
UniRef100_UPI0006504276	Cluster: stage V sporulation protein AC	UPI0006504276	Bacillus	150	1	1386
UniRef100_UPI001AE68670	Cluster: stage V sporulation protein AC	UPI001AE68670	unclassified Paenibacillus	159	1	185978
UniRef100_A0A8D5UFL2	Cluster: Stage V sporulation protein AC	A0A8D5UFL2	Polycladomyces abyssicola	160	1	1125966
UniRef100_UPI00190FD356	Cluster: stage V sporulation protein AC	UPI00190FD356	Paenibacillus glycanilyticus	161	1	126569
UniRef100_A0A4Y8LRX2	Cluster: Stage V sporulation protein AC	A0A4Y8LRX2	Cohnella luojiensis	161	1	652876
UniRef100_UPI000B5B7DAD	Cluster: stage V sporulation protein AC	UPI000B5B7DAD	Bacillus velezensis	150	1	492670
UniRef100_A0A1K1MK68	Cluster: Stage V sporulation protein AC	A0A1K1MK68	Paenibacillus sp. UNCCL117	159	1	1502764
UniRef100_UPI000FD9B135	Cluster: stage V sporulation protein AC	UPI000FD9B135	Paenibacillus glycanilyticus	161	1	126569
UniRef100_A0A8I1AAW9	Cluster: Stage V sporulation protein AC	A0A8I1AAW9	Thermoactinomyces intermedius	156	1	2024
UniRef100_A0A0M9GQ42	Cluster: Stage V sporulation protein AC	A0A0M9GQ42	Bacillus sp. CHD6a	152	1	1643452
UniRef100_UPI000CA3B21C	Cluster: stage V sporulation protein AC	UPI000CA3B21C	Priestia megaterium (Bacillus megaterium)	153	1	1404
UniRef100_A0A6C1W819	Cluster: Stage V sporulation protein AC	A0A6C1W819; A0A6G7JGP1	Bacillus licheniformis; Bacillus paralicheniformis	149	2	1402; 1648923
UniRef100_A0A2G8IWK5	Cluster: Stage V sporulation protein AC	A0A2G8IWK5	Bacillus pumilus (Bacillus mesentericus)	150	1	1408
UniRef100_A0A6H0WP98	Cluster: Stage V sporulation protein AC	A0A6H0WP98	Bacillus tequilensis	150	1	227866
UniRef100_UPI0011A5E1E7	Cluster: stage V sporulation protein AC	UPI0011A5E1E7	Bacillus pumilus (Bacillus mesentericus)	150	1	1408
UniRef100_A0A1L3MQB0	Cluster: Stage V sporulation protein AC	A0A1L3MQB0	Bacillus weihaiensis	151	1	1547283
UniRef100_A0A151YZF5	Cluster: Stage V sporulation protein AC	A0A151YZF5	Thermoactinomyces sp. AS95	156	1	1811386
UniRef100_A0A0H1RS16	Cluster: Stage V sporulation protein AC	A0A0H1RS16	Bacillus pumilus (Bacillus mesentericus)	150	1	1408
UniRef100_UPI001CFCBA05	Cluster: stage V sporulation protein AC	UPI001CFCBA05	Sutcliffiella horikoshii	152	1	79883
UniRef100_A0A5D4QXS6	Cluster: Stage V sporulation protein AC	A0A5D4QXS6	Bacillus pumilus (Bacillus mesentericus)	150	1	1408
UniRef100_UPI0004706FC8	Cluster: stage V sporulation protein AC	UPI0004706FC8	Paenibacillus ehimensis	159	1	79264
UniRef100_UPI001C6932A1	Cluster: stage V sporulation protein AC	UPI001C6932A1	Thermoactinomyces intermedius	167	1	2024
UniRef100_UPI00045D1136	Cluster: stage V sporulation protein AC	UPI00045D1136	Bacillus safensis	150	1	561879
UniRef100_UPI000D01E06A	Cluster: stage V sporulation protein AC	UPI000D01E06A	Bacillus sp. LLTC93	150	1	2108274
UniRef100_UPI001A7EA21F	Cluster: stage V sporulation protein AC	UPI001A7EA21F	Bacillus safensis	163	1	561879
UniRef100_UPI000F5A377E	Cluster: stage V sporulation protein AC	UPI000F5A377E	Ectobacillus antri	148	1	2486280
UniRef100_UPI000D0CAA09	Cluster: stage V sporulation protein AC	UPI000D0CAA09	Bacillus subtilis	150	1	1423
UniRef100_UPI000403993F	Cluster: stage V sporulation protein AC	UPI000403993F	Ectobacillus panaciterrae	151	1	363872
UniRef100_UPI001BB322FA	Cluster: stage V sporulation protein AC	UPI001BB322FA	Bacillus pumilus (Bacillus mesentericus)	155	1	1408
UniRef100_A0A7V6U9M3	Cluster: Stage V sporulation protein AC	A0A7V6U9M3	Clostridiaceae bacterium	159	1	1898204
UniRef100_A0A1I1T9T0	Cluster: Stage V sporulation protein AC	A0A1I1T9T0	Paenibacillus catalpae	161	1	1045775
UniRef100_A0A4R1ZWQ8	Cluster: Stage V sporulation protein AC	A0A4R1ZWQ8	Paenibacillus sp. BK033	161	1	2512133
UniRef100_A0A0P9FN71	Cluster: Stage V sporulation protein AC	A0A0P9FN71	Paenibacillus sp. A3	159	1	1337054
UniRef100_A8FES6	Cluster: Stage V sporulation protein AC	A8FES6	Bacillus pumilus (strain SAFR-032)	150	1	315750
UniRef100_A0A0M2PRL7	Cluster: Stage V sporulation protein AC	A0A0M2PRL7	Bacillus sp. SA1-12	151	1	1455638
UniRef100_A0A5C6WBX3	Cluster: Stage V sporulation protein AC	A0A5C6WBX3	Metabacillus litoralis	151	1	152268
UniRef100_A0A7V8GGW0	Cluster: Stage V sporulation protein AC	A0A7V8GGW0	Bacillus sp. SKDU12	150	1	1337053
UniRef100_A0A2A5IUZ0	Cluster: Stage V sporulation protein AC	A0A2A5IUZ0	Bacillus pumilus (Bacillus mesentericus)	150	1	1408
UniRef100_UPI00018C8A31	Cluster: stage V sporulation protein AC	UPI00018C8A31	Bacillus licheniformis	149	1	1402
UniRef100_UPI0011A1A131	Cluster: stage V sporulation protein AC	UPI0011A1A131	Bacillus pumilus (Bacillus mesentericus)	150	1	1408
UniRef100_A0A553KHX0	Cluster: Stage V sporulation protein AC	A0A553KHX0	Brevibacillus sp. LEMMJ03	157	1	2595056
UniRef100_A0A1A5XPM6	Cluster: Stage V sporulation protein AC	A0A1A5XPM6	Brevibacillus sp. WF146	157	1	319501
UniRef100_UPI0003214AE6	Cluster: stage V sporulation protein AC	UPI0003214AE6	Bacillus pumilus (Bacillus mesentericus)	155	1	1408
UniRef100_UPI000FDC4952	Cluster: stage V sporulation protein AC	UPI000FDC4952	Paenibacillus koleovorans	156	1	121608
UniRef100_A0A3M8CPE0	Cluster: Stage V sporulation protein AC	A0A3M8CPE0	Brevibacillus panacihumi	157	1	497735
UniRef100_A0A292YFY0	Cluster: Stage V sporulation protein AC	A0A292YFY0	Effusibacillus lacus	157	1	1348429
UniRef100_UPI000BF30521	Cluster: stage V sporulation protein AC	UPI000BF30521	Bacillus safensis	150	1	561879
UniRef100_UPI0007EEEBAC	Cluster: stage V sporulation protein AC	UPI0007EEEBAC	Bacillus	150	1	1386
UniRef100_A0A4Y9K1A4	Cluster: Stage V sporulation protein AC	A0A4Y9K1A4; A0A8F2CLQ2; A0A498TTM0	Bacillus stratosphericus; Bacillus sp. JNUCC-24; Bacillus safensis	150	3	293386; 2842458; 561879
UniRef100_UPI001C1FE753	Cluster: stage V sporulation protein AC	UPI001C1FE753	Metabacillus halosaccharovorans	149	1	930124
UniRef100_A0A081LDB4	Cluster: Stage V sporulation protein AC	A0A081LDB4	Bacillus zhangzhouensis	150	1	1178540
UniRef100_UPI0018E075F8	Cluster: stage V sporulation protein AC	UPI0018E075F8	Bacillus	163	1	1386
UniRef100_UPI000D72B654	Cluster: stage V sporulation protein AC	UPI000D72B654	Bacillus sp. CGMCC 1.16541	152	1	2185143
UniRef100_C6D5W8	Cluster: Stage V sporulation protein AC	C6D5W8	Paenibacillus sp. (strain JDR-2)	162	1	324057
UniRef100_UPI000D511510	Cluster: stage V sporulation protein AC	UPI000D511510	Priestia megaterium (Bacillus megaterium)	153	1	1404
UniRef100_UPI001CF9C6EC	Cluster: stage V sporulation protein AC	UPI001CF9C6EC	Metabacillus niabensis	149	1	324854
UniRef100_A0A8G1J961	Cluster: Stage V sporulation protein AC	A0A8G1J961; A0A267XCG9	Bacillus pumilus (Bacillus mesentericus); Bacillus sp. 7788	150	2	1408; 2021692
UniRef100_A0A2N6RMZ6	Cluster: Stage V sporulation protein AC	A0A2N6RMZ6	Bacillus sp. UMB0899	149	1	2029108
UniRef100_A0A4Q0VVZ0	Cluster: Stage V sporulation protein AC	A0A4Q0VVZ0	Anaerobacillus alkaliphilus	159	1	1548597
UniRef100_UPI00071784CB	Cluster: stage V sporulation protein AC	UPI00071784CB	Bacillus pumilus (Bacillus mesentericus)	150	1	1408
UniRef100_UPI001C88B8F9	Cluster: stage V sporulation protein AC	UPI001C88B8F9	Bacillus pumilus (Bacillus mesentericus)	155	1	1408
UniRef100_A0A1G4PU13	Cluster: Stage V sporulation protein AC	A0A1G4PU13	Paenibacillus tianmuensis	159	1	624147
UniRef100_A0A5K1KVE9	Cluster: Stage V sporulation protein AC	A0A5K1KVE9	Bacillus altitudinis	150	1	293387
UniRef100_UPI0004791927	Cluster: stage V sporulation protein AC	UPI0004791927	Metabacillus halosaccharovorans	149	1	930124
UniRef100_UPI000EF5BEFF	Cluster: stage V sporulation protein AC	UPI000EF5BEFF	Metabacillus litoralis	149	1	152268
UniRef100_UPI00119F7A27	Cluster: stage V sporulation protein AC	UPI00119F7A27	Bacteria	159	1	2
UniRef100_UPI0009AF16BC	Cluster: stage V sporulation protein AC	UPI0009AF16BC	Paenibacillus sp. 32352	157	1	1969111
UniRef100_UPI000FF8F967	Cluster: stage V sporulation protein AC	UPI000FF8F967	Bacillus subtilis	150	1	1423
UniRef100_UPI00195AE95D	Cluster: stage V sporulation protein AC	UPI00195AE95D	Metabacillus crassostreae	151	1	929098
UniRef100_UPI001CD67E9E	Cluster: stage V sporulation protein AC	UPI001CD67E9E	Bacillus tianshenii	152	1	1463404
UniRef100_A0A1Y0CNN9	Cluster: Stage V sporulation protein AC	A0A1Y0CNN9	Sutcliffiella horikoshii	152	1	79883
UniRef100_UPI00166D3762	Cluster: stage V sporulation protein AC	UPI00166D3762	Paenibacillus abyssi	161	1	1340531
UniRef100_UPI0017893307	Cluster: stage V sporulation protein AC	UPI0017893307	Paenibacillus sp. OAS669	157	1	2663821
UniRef100_A0A0U2W775	Cluster: Stage V sporulation protein AC	A0A0U2W775	Paenibacillus naphthalenovorans	159	1	162209
UniRef100_A0A855RJG0	Cluster: Stage V sporulation protein AC	A0A855RJG0	Bacillus pumilus (Bacillus mesentericus)	150	1	1408
UniRef100_UPI0018F8CEAD	Cluster: stage V sporulation protein AC	UPI0018F8CEAD	Bacillus pumilus (Bacillus mesentericus)	155	1	1408
UniRef100_UPI001A7E7A9B	Cluster: stage V sporulation protein AC	UPI001A7E7A9B	Bacillus safensis	163	1	561879
UniRef100_UPI001AE34829	Cluster: stage V sporulation protein AC	UPI001AE34829	Ammoniphilus resinae	159	1	861532
UniRef100_UPI000E75F6E4	Cluster: stage V sporulation protein AC	UPI000E75F6E4	Bacillus safensis	150	1	561879
UniRef100_A0A7S9HUG1	Cluster: Stage V sporulation protein AC	A0A7S9HUG1	Bacillus velezensis	150	1	492670
UniRef100_UPI00158D47F2	Cluster: stage V sporulation protein AC	UPI00158D47F2	Bacillus safensis	163	1	561879
UniRef100_UPI001C05DA30	Cluster: stage V sporulation protein AC	UPI001C05DA30	Bacillus cabrialesii	150	1	2487276
UniRef100_UPI000347EACC	Cluster: stage V sporulation protein AC	UPI000347EACC	Bacillus	150	1	1386
UniRef100_A0A6P1HN66	Cluster: Stage V sporulation protein AC	A0A6P1HN66	Pontibacillus sp. HMF3514	152	1	2692425
UniRef100_A0A1I0H219	Cluster: Stage V sporulation protein AC	A0A1I0H219	Natronincola peptidivorans	159	1	426128
UniRef100_UPI001576437D	Cluster: stage V sporulation protein AC	UPI001576437D	Bacillus tequilensis	150	1	227866
UniRef100_UPI00115220F7	Cluster: stage V sporulation protein AC	UPI00115220F7	Bacillus altitudinis	150	1	293387
UniRef100_M5QXZ1	Cluster: Stage v sporulation protein ac	M5QXZ1; UPI001C71A170	Bacillus stratosphericus LAMA 585; Bacillus aerius	163	2	1236481; 293388
UniRef100_UPI00106F3623	Cluster: stage V sporulation protein AC	UPI00106F3623	Ammoniphilus sp. YIM 78166	159	1	1644106
UniRef100_UPI001C46A14B	Cluster: stage V sporulation protein AC	UPI001C46A14B	Clostridium sp. PL3	159	1	2794346
UniRef100_UPI00174704AE	Cluster: stage V sporulation protein AC	UPI00174704AE	Bacillus sp. IB182487	151	1	2771434
UniRef100_UPI00048F8B5B	Cluster: stage V sporulation protein AC	UPI00048F8B5B	Paenibacillus sp. UNC451MF	157	1	1449063
UniRef100_A0A837EG75	Cluster: Uncharacterized protein	A0A837EG75	Bacillus pumilus (Bacillus mesentericus)	150	1	1408
UniRef100_UPI0009A706E8	Cluster: stage V sporulation protein AC	UPI0009A706E8	Mesobacillus jeotgali	159	1	129985
UniRef100_A0A5K1N9U1	Cluster: Mechanosensitive channel stage V sporulation protein AC	A0A5K1N9U1; A0A8H0I5E0	Bacillus altitudinis; Bacillus sp. 005/A4HT-01/001	150	2	293387; 2509010
UniRef100_UPI000824A7B9	Cluster: stage V sporulation protein AC	UPI000824A7B9	Metabacillus fastidiosus	151	1	1458
UniRef100_A0A7T5JPT2	Cluster: Stage V sporulation protein AC	A0A7T5JPT2	Brevibacillus composti	157	1	2796470
UniRef100_UPI001C0FE517	Cluster: stage V sporulation protein AC	UPI001C0FE517	unclassified Paenibacillus	158	1	185978
UniRef100_A0A329ELS6	Cluster: Stage V sporulation protein AC	A0A329ELS6	Priestia endophytica	155	1	135735
UniRef100_UPI00125E2AC7	Cluster: stage V sporulation protein AC	UPI00125E2AC7	Bacillus safensis	150	1	561879
UniRef100_UPI00158F41CC	Cluster: stage V sporulation protein AC	UPI00158F41CC	Bacillus	156	1	1386
UniRef100_UPI001BEC840F	Cluster: stage V sporulation protein AC	UPI001BEC840F	Mesobacillus foraminis	156	1	279826
UniRef100_A0A8F8FVS6	Cluster: Stage V sporulation protein AC	A0A8F8FVS6	Bacillus altitudinis	150	1	293387
UniRef100_A0A0A5FWU7	Cluster: Stage V sporulation protein AC	A0A0A5FWU7	Pontibacillus marinus BH030004 = DSM 16465	152	1	1385511
UniRef100_UPI001CFC6EDB	Cluster: stage V sporulation protein AC	UPI001CFC6EDB	Metabacillus litoralis	151	1	152268
UniRef100_V6M4B3	Cluster: Stage V sporulation protein AC	V6M4B3	Brevibacillus panacihumi W25	157	1	1408254
UniRef100_UPI001CCAD993	Cluster: stage V sporulation protein AC	UPI001CCAD993	Bacillus safensis	150	1	561879
UniRef100_UPI00077C38AA	Cluster: stage V sporulation protein AC	UPI00077C38AA	Priestia endophytica	155	1	135735
UniRef100_A0A4R2BMM1	Cluster: Stage V sporulation protein AC	A0A4R2BMM1	Mesobacillus foraminis	156	1	279826
UniRef100_A0A7C6GAD7	Cluster: Stage V sporulation protein AC	A0A7C6GAD7	Firmicutes bacterium	157	1	1879010
UniRef100_A0A3N6B5S2	Cluster: Uncharacterized protein	A0A3N6B5S2	Priestia endophytica	153	1	135735
