id,name,RepID,species,len,Tax,Size
UniRef100_A0A5M8RSK8/5-147,Cluster: Stage V sporulation protein AC,A0A5M8RSK8,Bacillus swezeyi,149,1925020,1.0
UniRef100_UPI0006504276/4-148,Cluster: stage V sporulation protein AC,UPI0006504276,Bacillus,150,1386,1.0
UniRef100_UPI001AE68670/13-154,Cluster: stage V sporulation protein AC,UPI001AE68670,unclassified Paenibacillus,159,185978,1.0
UniRef100_A0A8D5UFL2/12-156,Cluster: Stage V sporulation protein AC,A0A8D5UFL2,Polycladomyces abyssicola,160,1125966,1.0
UniRef100_UPI00190FD356/11-152,Cluster: stage V sporulation protein AC,UPI00190FD356,Paenibacillus glycanilyticus,161,126569,1.0
UniRef100_A0A4Y8LRX2/12-153,Cluster: Stage V sporulation protein AC,A0A4Y8LRX2,Cohnella luojiensis,161,652876,1.0
UniRef100_UPI000B5B7DAD/3-148,Cluster: stage V sporulation protein AC,UPI000B5B7DAD,Bacillus velezensis,150,492670,1.0
UniRef100_A0A1K1MK68/13-154,Cluster: Stage V sporulation protein AC,A0A1K1MK68,Paenibacillus sp. UNCCL117,159,1502764,1.0
UniRef100_UPI000FD9B135/11-152,Cluster: stage V sporulation protein AC,UPI000FD9B135,Paenibacillus glycanilyticus,161,126569,1.0
UniRef100_A0A8I1AAW9/10-151,Cluster: Stage V sporulation protein AC,A0A8I1AAW9,Thermoactinomyces intermedius,156,2024,1.0
UniRef100_A0A0M9GQ42/5-147,Cluster: Stage V sporulation protein AC,A0A0M9GQ42,Bacillus sp. CHD6a,152,1643452,1.0
UniRef100_UPI000CA3B21C/7-150,Cluster: stage V sporulation protein AC,UPI000CA3B21C,Priestia megaterium (Bacillus megaterium),153,1404,1.0
UniRef100_A0A6C1W819/4-146,Cluster: Stage V sporulation protein AC,A0A6C1W819,Bacillus licheniformis,149,1402,2.0
UniRef100_A0A2G8IWK5/4-148,Cluster: Stage V sporulation protein AC,A0A2G8IWK5,Bacillus pumilus (Bacillus mesentericus),150,1408,1.0
UniRef100_A0A6H0WP98/3-149,Cluster: Stage V sporulation protein AC,A0A6H0WP98,Bacillus tequilensis,150,227866,1.0
UniRef100_UPI0011A5E1E7/4-148,Cluster: stage V sporulation protein AC,UPI0011A5E1E7,Bacillus pumilus (Bacillus mesentericus),150,1408,1.0
UniRef100_A0A1L3MQB0/6-147,Cluster: Stage V sporulation protein AC,A0A1L3MQB0,Bacillus weihaiensis,151,1547283,1.0
UniRef100_A0A151YZF5/9-151,Cluster: Stage V sporulation protein AC,A0A151YZF5,Thermoactinomyces sp. AS95,156,1811386,1.0
UniRef100_A0A0H1RS16/4-148,Cluster: Stage V sporulation protein AC,A0A0H1RS16,Bacillus pumilus (Bacillus mesentericus),150,1408,1.0
UniRef100_UPI001CFCBA05/5-147,Cluster: stage V sporulation protein AC,UPI001CFCBA05,Sutcliffiella horikoshii,152,79883,1.0
UniRef100_A0A5D4QXS6/4-148,Cluster: Stage V sporulation protein AC,A0A5D4QXS6,Bacillus pumilus (Bacillus mesentericus),150,1408,1.0
UniRef100_UPI0004706FC8/13-154,Cluster: stage V sporulation protein AC,UPI0004706FC8,Paenibacillus ehimensis,159,79264,1.0
UniRef100_UPI001C6932A1/21-162,Cluster: stage V sporulation protein AC,UPI001C6932A1,Thermoactinomyces intermedius,167,2024,1.0
UniRef100_UPI00045D1136/4-148,Cluster: stage V sporulation protein AC,UPI00045D1136,Bacillus safensis,150,561879,1.0
UniRef100_UPI000D01E06A/4-148,Cluster: stage V sporulation protein AC,UPI000D01E06A,Bacillus sp. LLTC93,150,2108274,1.0
UniRef100_UPI001A7EA21F/17-161,Cluster: stage V sporulation protein AC,UPI001A7EA21F,Bacillus safensis,163,561879,1.0
UniRef100_UPI000F5A377E/4-146,Cluster: stage V sporulation protein AC,UPI000F5A377E,Ectobacillus antri,148,2486280,1.0
UniRef100_UPI000D0CAA09/3-149,Cluster: stage V sporulation protein AC,UPI000D0CAA09,Bacillus subtilis,150,1423,1.0
UniRef100_UPI000403993F/6-149,Cluster: stage V sporulation protein AC,UPI000403993F,Ectobacillus panaciterrae,151,363872,1.0
UniRef100_UPI001BB322FA/9-153,Cluster: stage V sporulation protein AC,UPI001BB322FA,Bacillus pumilus (Bacillus mesentericus),155,1408,1.0
UniRef100_A0A7V6U9M3/12-155,Cluster: Stage V sporulation protein AC,A0A7V6U9M3,Clostridiaceae bacterium,159,1898204,1.0
UniRef100_A0A1I1T9T0/11-152,Cluster: Stage V sporulation protein AC,A0A1I1T9T0,Paenibacillus catalpae,161,1045775,1.0
UniRef100_A0A4R1ZWQ8/11-152,Cluster: Stage V sporulation protein AC,A0A4R1ZWQ8,Paenibacillus sp. BK033,161,2512133,1.0
UniRef100_A0A0P9FN71/13-154,Cluster: Stage V sporulation protein AC,A0A0P9FN71,Paenibacillus sp. A3,159,1337054,1.0
UniRef100_A8FES6/4-148,Cluster: Stage V sporulation protein AC,A8FES6,Bacillus pumilus (strain SAFR-032),150,315750,1.0
UniRef100_A0A0M2PRL7/5-147,Cluster: Stage V sporulation protein AC,A0A0M2PRL7,Bacillus sp. SA1-12,151,1455638,1.0
UniRef100_A0A5C6WBX3/5-147,Cluster: Stage V sporulation protein AC,A0A5C6WBX3,Metabacillus litoralis,151,152268,1.0
UniRef100_A0A7V8GGW0/3-149,Cluster: Stage V sporulation protein AC,A0A7V8GGW0,Bacillus sp. SKDU12,150,1337053,1.0
UniRef100_A0A2A5IUZ0/4-148,Cluster: Stage V sporulation protein AC,A0A2A5IUZ0,Bacillus pumilus (Bacillus mesentericus),150,1408,1.0
UniRef100_UPI00018C8A31/4-146,Cluster: stage V sporulation protein AC,UPI00018C8A31,Bacillus licheniformis,149,1402,1.0
UniRef100_UPI0011A1A131/4-148,Cluster: stage V sporulation protein AC,UPI0011A1A131,Bacillus pumilus (Bacillus mesentericus),150,1408,1.0
UniRef100_A0A553KHX0/11-153,Cluster: Stage V sporulation protein AC,A0A553KHX0,Brevibacillus sp. LEMMJ03,157,2595056,1.0
UniRef100_A0A1A5XPM6/11-153,Cluster: Stage V sporulation protein AC,A0A1A5XPM6,Brevibacillus sp. WF146,157,319501,1.0
UniRef100_UPI0003214AE6/9-153,Cluster: stage V sporulation protein AC,UPI0003214AE6,Bacillus pumilus (Bacillus mesentericus),155,1408,1.0
UniRef100_UPI000FDC4952/11-152,Cluster: stage V sporulation protein AC,UPI000FDC4952,Paenibacillus koleovorans,156,121608,1.0
UniRef100_A0A3M8CPE0/12-154,Cluster: Stage V sporulation protein AC,A0A3M8CPE0,Brevibacillus panacihumi,157,497735,1.0
UniRef100_A0A292YFY0/11-154,Cluster: Stage V sporulation protein AC,A0A292YFY0,Effusibacillus lacus,157,1348429,1.0
UniRef100_UPI000BF30521/4-148,Cluster: stage V sporulation protein AC,UPI000BF30521,Bacillus safensis,150,561879,1.0
UniRef100_UPI0007EEEBAC/4-148,Cluster: stage V sporulation protein AC,UPI0007EEEBAC,Bacillus,150,1386,1.0
UniRef100_A0A4Y9K1A4/4-148,Cluster: Stage V sporulation protein AC,A0A4Y9K1A4,Bacillus stratosphericus,150,293386,3.0
UniRef100_UPI001C1FE753/2-145,Cluster: stage V sporulation protein AC,UPI001C1FE753,Metabacillus halosaccharovorans,149,930124,1.0
UniRef100_A0A081LDB4/4-148,Cluster: Stage V sporulation protein AC,A0A081LDB4,Bacillus zhangzhouensis,150,1178540,1.0
UniRef100_UPI0018E075F8/17-161,Cluster: stage V sporulation protein AC,UPI0018E075F8,Bacillus,163,1386,1.0
UniRef100_UPI000D72B654/7-149,Cluster: stage V sporulation protein AC,UPI000D72B654,Bacillus sp. CGMCC 1.16541,152,2185143,1.0
UniRef100_C6D5W8/12-153,Cluster: Stage V sporulation protein AC,C6D5W8,Paenibacillus sp. (strain JDR-2),162,324057,1.0
UniRef100_UPI000D511510/7-150,Cluster: stage V sporulation protein AC,UPI000D511510,Priestia megaterium (Bacillus megaterium),153,1404,1.0
UniRef100_UPI001CF9C6EC/3-145,Cluster: stage V sporulation protein AC,UPI001CF9C6EC,Metabacillus niabensis,149,324854,1.0
UniRef100_A0A8G1J961/4-146,Cluster: Stage V sporulation protein AC,A0A8G1J961,Bacillus pumilus (Bacillus mesentericus),150,1408,2.0
UniRef100_A0A2N6RMZ6/3-145,Cluster: Stage V sporulation protein AC,A0A2N6RMZ6,Bacillus sp. UMB0899,149,2029108,1.0
UniRef100_A0A4Q0VVZ0/12-153,Cluster: Stage V sporulation protein AC,A0A4Q0VVZ0,Anaerobacillus alkaliphilus,159,1548597,1.0
UniRef100_UPI00071784CB/4-148,Cluster: stage V sporulation protein AC,UPI00071784CB,Bacillus pumilus (Bacillus mesentericus),150,1408,1.0
UniRef100_UPI001C88B8F9/9-153,Cluster: stage V sporulation protein AC,UPI001C88B8F9,Bacillus pumilus (Bacillus mesentericus),155,1408,1.0
UniRef100_A0A1G4PU13/13-154,Cluster: Stage V sporulation protein AC,A0A1G4PU13,Paenibacillus tianmuensis,159,624147,1.0
UniRef100_A0A5K1KVE9/4-148,Cluster: Stage V sporulation protein AC,A0A5K1KVE9,Bacillus altitudinis,150,293387,1.0
UniRef100_UPI0004791927/3-145,Cluster: stage V sporulation protein AC,UPI0004791927,Metabacillus halosaccharovorans,149,930124,1.0
UniRef100_UPI000EF5BEFF/3-145,Cluster: stage V sporulation protein AC,UPI000EF5BEFF,Metabacillus litoralis,149,152268,1.0
UniRef100_UPI00119F7A27/11-154,Cluster: stage V sporulation protein AC,UPI00119F7A27,Bacteria,159,2,1.0
UniRef100_UPI0009AF16BC/12-153,Cluster: stage V sporulation protein AC,UPI0009AF16BC,Paenibacillus sp. 32352,157,1969111,1.0
UniRef100_UPI000FF8F967/3-149,Cluster: stage V sporulation protein AC,UPI000FF8F967,Bacillus subtilis,150,1423,1.0
UniRef100_UPI00195AE95D/5-147,Cluster: stage V sporulation protein AC,UPI00195AE95D,Metabacillus crassostreae,151,929098,1.0
UniRef100_UPI001CD67E9E/5-147,Cluster: stage V sporulation protein AC,UPI001CD67E9E,Bacillus tianshenii,152,1463404,1.0
UniRef100_A0A1Y0CNN9/5-147,Cluster: Stage V sporulation protein AC,A0A1Y0CNN9,Sutcliffiella horikoshii,152,79883,1.0
UniRef100_UPI00166D3762/12-153,Cluster: stage V sporulation protein AC,UPI00166D3762,Paenibacillus abyssi,161,1340531,1.0
UniRef100_UPI0017893307/12-153,Cluster: stage V sporulation protein AC,UPI0017893307,Paenibacillus sp. OAS669,157,2663821,1.0
UniRef100_A0A0U2W775/13-154,Cluster: Stage V sporulation protein AC,A0A0U2W775,Paenibacillus naphthalenovorans,159,162209,1.0
UniRef100_A0A855RJG0/4-148,Cluster: Stage V sporulation protein AC,A0A855RJG0,Bacillus pumilus (Bacillus mesentericus),150,1408,1.0
UniRef100_UPI0018F8CEAD/9-153,Cluster: stage V sporulation protein AC,UPI0018F8CEAD,Bacillus pumilus (Bacillus mesentericus),155,1408,1.0
UniRef100_UPI001A7E7A9B/17-161,Cluster: stage V sporulation protein AC,UPI001A7E7A9B,Bacillus safensis,163,561879,1.0
UniRef100_UPI001AE34829/11-153,Cluster: stage V sporulation protein AC,UPI001AE34829,Ammoniphilus resinae,159,861532,1.0
UniRef100_UPI000E75F6E4/4-148,Cluster: stage V sporulation protein AC,UPI000E75F6E4,Bacillus safensis,150,561879,1.0
UniRef100_A0A7S9HUG1/3-148,Cluster: Stage V sporulation protein AC,A0A7S9HUG1,Bacillus velezensis,150,492670,1.0
UniRef100_UPI00158D47F2/17-161,Cluster: stage V sporulation protein AC,UPI00158D47F2,Bacillus safensis,163,561879,1.0
UniRef100_UPI001C05DA30/3-149,Cluster: stage V sporulation protein AC,UPI001C05DA30,Bacillus cabrialesii,150,2487276,1.0
UniRef100_UPI000347EACC/3-148,Cluster: stage V sporulation protein AC,UPI000347EACC,Bacillus,150,1386,1.0
UniRef100_A0A6P1HN66/6-149,Cluster: Stage V sporulation protein AC,A0A6P1HN66,Pontibacillus sp. HMF3514,152,2692425,1.0
UniRef100_A0A1I0H219/11-154,Cluster: Stage V sporulation protein AC,A0A1I0H219,Natronincola peptidivorans,159,426128,1.0
UniRef100_UPI001576437D/3-149,Cluster: stage V sporulation protein AC,UPI001576437D,Bacillus tequilensis,150,227866,1.0
UniRef100_UPI00115220F7/4-148,Cluster: stage V sporulation protein AC,UPI00115220F7,Bacillus altitudinis,150,293387,1.0
UniRef100_M5QXZ1/17-161,Cluster: Stage v sporulation protein ac,M5QXZ1,Bacillus stratosphericus LAMA 585,163,1236481,2.0
UniRef100_UPI00106F3623/11-153,Cluster: stage V sporulation protein AC,UPI00106F3623,Ammoniphilus sp. YIM 78166,159,1644106,1.0
UniRef100_UPI001C46A14B/11-153,Cluster: stage V sporulation protein AC,UPI001C46A14B,Clostridium sp. PL3,159,2794346,1.0
UniRef100_UPI00174704AE/3-146,Cluster: stage V sporulation protein AC,UPI00174704AE,Bacillus sp. IB182487,151,2771434,1.0
UniRef100_UPI00048F8B5B/12-153,Cluster: stage V sporulation protein AC,UPI00048F8B5B,Paenibacillus sp. UNC451MF,157,1449063,1.0
UniRef100_A0A837EG75/4-148,Cluster: Uncharacterized protein,A0A837EG75,Bacillus pumilus (Bacillus mesentericus),150,1408,1.0
UniRef100_UPI0009A706E8/11-154,Cluster: stage V sporulation protein AC,UPI0009A706E8,Mesobacillus jeotgali,159,129985,1.0
UniRef100_A0A5K1N9U1/4-148,Cluster: Mechanosensitive channel stage V sporulation protein AC,A0A5K1N9U1,Bacillus altitudinis,150,293387,2.0
UniRef100_UPI000824A7B9/5-147,Cluster: stage V sporulation protein AC,UPI000824A7B9,Metabacillus fastidiosus,151,1458,1.0
UniRef100_A0A7T5JPT2/12-154,Cluster: Stage V sporulation protein AC,A0A7T5JPT2,Brevibacillus composti,157,2796470,1.0
UniRef100_UPI001C0FE517/11-152,Cluster: stage V sporulation protein AC,UPI001C0FE517,unclassified Paenibacillus,158,185978,1.0
UniRef100_A0A329ELS6/6-149,Cluster: Stage V sporulation protein AC,A0A329ELS6,Priestia endophytica,155,135735,1.0
UniRef100_UPI00125E2AC7/4-148,Cluster: stage V sporulation protein AC,UPI00125E2AC7,Bacillus safensis,150,561879,1.0
UniRef100_UPI00158F41CC/10-154,Cluster: stage V sporulation protein AC,UPI00158F41CC,Bacillus,156,1386,1.0
UniRef100_UPI001BEC840F/8-150,Cluster: stage V sporulation protein AC,UPI001BEC840F,Mesobacillus foraminis,156,279826,1.0
UniRef100_A0A8F8FVS6/4-148,Cluster: Stage V sporulation protein AC,A0A8F8FVS6,Bacillus altitudinis,150,293387,1.0
UniRef100_A0A0A5FWU7/6-149,Cluster: Stage V sporulation protein AC,A0A0A5FWU7,Pontibacillus marinus BH030004 = DSM 16465,152,1385511,1.0
UniRef100_UPI001CFC6EDB/5-147,Cluster: stage V sporulation protein AC,UPI001CFC6EDB,Metabacillus litoralis,151,152268,1.0
UniRef100_V6M4B3/12-154,Cluster: Stage V sporulation protein AC,V6M4B3,Brevibacillus panacihumi W25,157,1408254,1.0
UniRef100_UPI001CCAD993/4-148,Cluster: stage V sporulation protein AC,UPI001CCAD993,Bacillus safensis,150,561879,1.0
UniRef100_UPI00077C38AA/6-149,Cluster: stage V sporulation protein AC,UPI00077C38AA,Priestia endophytica,155,135735,1.0
UniRef100_A0A4R2BMM1/8-150,Cluster: Stage V sporulation protein AC,A0A4R2BMM1,Mesobacillus foraminis,156,279826,1.0
UniRef100_A0A7C6GAD7/10-151,Cluster: Stage V sporulation protein AC,A0A7C6GAD7,Firmicutes bacterium,157,1879010,1.0
UniRef100_A0A3N6B5S2/6-149,Cluster: Uncharacterized protein,A0A3N6B5S2,Priestia endophytica,153,135735,1.0
UniRef100_UPI0019D5ECD1/10-154,Cluster: stage V sporulation protein AC,UPI0019D5ECD1,Bacillus altitudinis complex,156,1792192,1.0
UniRef100_A0A1I0HZR1/7-147,Cluster: Stage V sporulation protein AC,A0A1I0HZR1,Salinibacillus kushneri,149,237682,1.0
UniRef100_UPI001CF9B6B4/4-148,Cluster: stage V sporulation protein AC,UPI001CF9B6B4,Bacillus stratosphericus,150,293386,1.0
UniRef100_A0A7G5BSC1/11-152,Cluster: Stage V sporulation protein AC,A0A7G5BSC1,Cohnella cholangitidis,160,2598458,1.0
UniRef100_A0A7Z2VGE1/11-152,Cluster: Stage V sporulation protein AC,A0A7Z2VGE1,Cohnella sp. MFER-1,160,2728023,1.0
UniRef100_UPI000EF4A8CD/9-150,Cluster: stage V sporulation protein AC,UPI000EF4A8CD,Mesobacillus foraminis,156,279826,1.0
